Organization Name,Organization Name URL,Full Description,Industries,Website,Headquarters Location,Description,CB Rank (Company),SEMrush - Monthly Visits,SEMrush - Average Visits (6 months),SEMrush - Monthly Visits Growth,SEMrush - Visit Duration Growth,SEMrush - Visit Duration,SEMrush - Page Views / Visit,SEMrush - Page Views / Visit Growth,SEMrush - Bounce Rate,SEMrush - Bounce Rate Growth,SEMrush - Global Traffic Rank,SEMrush - Monthly Rank Change (#),SEMrush - Monthly Rank Growth,Headquarters Regions,Operating Status,Founded Date,Founded Date Precision,Number of Founders,Number of Employees,Founders,Apptopia - Number of Apps,Apptopia - Downloads Last 30 Days,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD)
GitHub,https://www.crunchbase.com/organization/github,"GitHub provides code hosting services that allow developers/people to build software for open source and private projects in organizations. It designs and develops an online platform to allows users to store and share codes repositories with friends, co-workers, classmates, and complete strangers.  GitHub has a strategic partnership with International Business Machines Corporation. It was founded on February 29, 2008, by Chris Wanstrath, PJ Hyett, and Tom Preston-Werner, with its headquarters in San Francisco in California.","Cloud Computing, Developer Tools, Internet, Project Management, Software",https://github.com,"San Francisco, California, United States",GitHub provides code hosting services that allow developers to build software for open-source and private projects in organizations.,91,"539,393,813","489,663,341",9.77%,6.9%,899,2.39,2.67%,60.23%,0.32%,118,-38,-24.36%,"San Francisco Bay Area, West Coast, Western US",Active,2008-02-29,day,4,501-1000,"Chris Wanstrath, PJ Hyett, Scott Chacon, Tom Preston-Werner",7,"191,510",2646422,USD,2646422
MongoDB,https://www.crunchbase.com/organization/mongodb-inc,"MongoDB is a database that helps businesses transform their industries by harnessing the power of data. It specializes in the fields of open source, databases, and software development. It was founded in 2007 and headquartered in New York, United States.","Cloud Computing, Database, Open Source, SaaS, Software",http://www.mongodb.com/,"New York, New York, United States",MongoDB is a next-generation database that helps businesses transform their industries by harnessing the power of data.,312,"11,402,962","9,833,043.33",23.87%,-25.4%,652,2.52,3.13%,54.25%,-2.46%,"15,016","-3,199",-17.56%,"Greater New York Area, East Coast, Northeastern US",Active,2007-11-01,day,3,1001-5000,"Dwight Merriman, Eliot Horowitz, Kevin Ryan",5,,85050625,USD,85050625
WM Technology,https://www.crunchbase.com/organization/wm-technology,"WM Technology provides the broadest suite of cloud-based software as a service (SaaS) and data solutions for the cannabis industry. WM Technology’s product suite includes point of sale, logistics, wholesale, and ordering solutions that enable clients to scale their businesses while complying with the complex and disparate regulations applicable to the cannabis industry.","Cloud Computing, Cloud Infrastructure, SaaS, Software",https://weedmaps.com/corporate,"Independence, Ohio, United States",WM Technology is a technology and software infrastructure provider to the cannabis industry.,"9,205","10,322,579","19,969,603.5",-50.88%,106.9%,540,3.15,6.43%,49.75%,52.51%,"16,442","8,928",118.82%,"Great Lakes, Midwestern US",Active,2008-01-01,year,,501-1000,,,,,,
New Relic,https://www.crunchbase.com/organization/new-relic,"New Relic is a digital intelligence company that delivers full-stack visibility and analytics with more than 14,000 paid business accounts. The New Relic digital intelligence platform provides actionable insights to drive digital business results.  The company was founded in 2008 and is headquartered in San Francisco, California.","Analytics, Application Performance Management, Cloud Computing, IT Infrastructure, Mobile, SaaS, Software",http://newrelic.com,"San Francisco, California, United States",New Relic is a digital intelligence company that delivers full-stack visibility and analytics to enterprises.,"1,071","5,309,712","3,977,340.5",95.65%,-26.6%,"1,148",4.7,-29.9%,41.37%,14.88%,"29,717","-20,293",-40.58%,"San Francisco Bay Area, West Coast, Western US",Active,2008-02-01,day,1,1001-5000,Lew Cirne,6,154,96181916,USD,96181916
Armslist.com,https://www.crunchbase.com/organization/armslist-com,"ARMSLIST is a free local classified site for listing hand guns, pistols, rifles, shotguns, ammunition, archery, and hunting equipment. We created this site to allow people to find buyers and sellers in their local community and not have to pay fees to list their stuff. We wanted the site to be simple, easy to use, and non-intrusive, but specifically for buying, selling, and trading guns! ARMSLIST became active in January of 2009. ARMSLIST was created by a number of gun owning and gun loving Americans after seeing firsthand how the popular marketplace sites on the Internet shun firearms. We appreciate all the help and support that everyone has given us and hope for continued success of the site! ARMSLIST is currently running on the ASP.NET MVC 3 Framework and MySQL server. ARMSLIST is hosted in the cloud on an Amazon Elastic Cloud Computing instance.","Cloud Computing, E-Commerce, Hunting",http://www.armslist.com,"Waupun, Wisconsin, United States","Armslist.com is the largest private firearms marketplace online, and serves as a free classifieds online, for the firearms community.","122,515","3,173,819","2,847,425.83",-4.52%,-28.86%,811,7.47,-6.36%,32.83%,12.09%,"45,332","2,222",5.15%,"Great Lakes, Midwestern US",Active,2009-01-01,year,2,11-50,"Brian Mancini, Jonathan Gibbon",,,,,
Cloud.com,https://www.crunchbase.com/organization/cloud-com,"Cloud.com is a venture-backed startup based out of Cupertino that develops an open source cloud orchestration software product for the implementation of public and private cloud computing environments. Their software, CloudStack, is designed to make it easier for Service Providers and Enterprises to build, manage and deploy IaaS offerings similar to Amazon EC2 and S3. CloudStack is available in three editions: the Enterprise Edition, the Service Provider Edition and the open-source Community Edition. The company changed its name from VMOps to Cloud.com on May 4th, 2010 when it emerged from stealth mode.","Cloud Computing, Cloud Management, Enterprise Software, IaaS, Private Cloud, Software",http://www.cloud.com,"Cupertino, California, United States",Cloud.com develops an open source cloud orchestration software product for the implementation of cloud computing environments.,"139,823","2,987,397","2,700,079",95.64%,71.86%,739,3.75,30.39%,23.76%,-25.02%,"46,353","-25,663",-35.64%,"San Francisco Bay Area, Silicon Valley, West Coast",Active,2008-01-01,year,3,5001-10000,"Shannon Williams, Sheng Liang, Will Chan",,,,,
Socrata,https://www.crunchbase.com/organization/socrata,"Socrata is the market leader in making existing government data discoverable, usable, and actionable for government workers and the people they serve. Socrata provides a data-as-a-service data platform and cloud applications exclusively for city, county, state, and federal government organizations.  Socrata delivers unprecedented, data-driven innovation and cost-savings by bringing together disparate systems and leveraging the cloud to dramatically enhance the effectiveness of government programs, to improve quality of life for residents, positively impact local economies, and achieve excellence in government operations. Socrata solutions are designed and developed to meet strict government standards. The technology is optimized on the Amazon Web Services (AWS) Public Sector cloud and delivered using the exclusive Socrata Blueprint Methodology. Socrata has earned Federal Risk and Authorization Management Program (FedRAMP) Authority to Operate (ATO).","Analytics, Cloud Computing, Cloud Data Services, Enterprise Software, GovTech, Software",https://www.tylertech.com,"Seattle, Washington, United States",Socrata is a platform that enables governments to use data as a strategic asset.,"27,823","1,799,948","1,726,200.17",-37.11%,12.71%,683,2.65,-13.6%,63.91%,8.97%,"70,624","22,626",47.14%,"Greater Seattle Area, West Coast, Western US",Active,2007-01-01,year,1,51-100,Kevin Merritt,1,,,,
Cloudera,https://www.crunchbase.com/organization/cloudera,"Cloudera delivers an Enterprise Data Cloud for any data, anywhere, from the Edge to AI.Cloudera was founded in 2008 by some of the brightest minds at Silicon Valley’s leading companies, including Google (Christophe Bisciglia), Yahoo! (Amr Awadallah), Oracle (Mike Olson), and Facebook (Jeff Hammerbacher). Doug Cutting, co-creator of Hadoop, joined the company in 2009 as Chief Architect and remains in that role. Today, Cloudera has more than 1,600 employees. They have offices in 24 countries around the globe, with their headquarters in Palo Alto, California.","Analytics, Artificial Intelligence, Big Data, Cloud Computing, Enterprise Software, Machine Learning",http://www.cloudera.com,"Palo Alto, California, United States","Cloudera delivers an Enterprise Data Cloud for any data, anywhere, from the Edge to AI.","1,134","1,613,278","1,650,690.17",21.81%,37.74%,803,2.74,24.2%,66.89%,-2.83%,"74,403","-6,005",-7.47%,"San Francisco Bay Area, Silicon Valley, West Coast",Active,2008-01-01,year,5,1001-5000,"Amr Awadallah, Christophe Bisciglia, Jeff Hammerbacher, Mike Olson, Owen O'Malley",,,125226018,USD,125226018
Datto,https://www.crunchbase.com/organization/datto,"Datto provides backup, recovery, and business continuity solutions to managed service providers worldwide. Its products include ALTO, a business continuity solution designed specifically for small businesses, SIRIS, a family of enterprise business continuity solutions that are available in physical and virtual platforms, Datto NAS, a cloud storage solution, and Backupify, a cloud-to-cloud backup and recovery solution for Software-as-a-Service (SaaS) applications that include Google Apps and Salesforce.  Datto offers its solutions for data on-premises in a physical or virtual server, or in the cloud via SaaS applications. It serves small businesses to enterprises in the United States, Canada, and the United Kingdom.  Austin McChord founded Datto in 2007. Its headquarters in Norwalk in Connecticut, with additional offices in Germany and the Netherlands.  Datto has operations in Australia and New Zealand. Datto operates as a subsidiary of Autotask Corporation as of December 11, 2017.","Cloud Computing, Flash Storage, Information Technology, SaaS, Software",http://datto.com/,"Norwalk, Connecticut, United States",Datto provides security and cloud-based software solutions designed specifically for managed service providers.,"6,326","1,222,359","1,358,483.83",-12%,44.71%,424,2.63,-6.24%,47.75%,33.87%,"91,585","14,078",18.16%,"East Coast, New England, Northeastern US",Active,2007-01-01,year,1,501-1000,Austin McChord,,,,,
Immunet Corporation,https://www.crunchbase.com/organization/immunet-corporation,"Immunet provides free community-based AntiVirus software that leverages the collective intelligence of cloud computing to protect the entire userbase from virus threats and malware. Instead of combating real-time threats with virus definition updates, Immunet monitors an entire network of users and when it is alerted that one user has encountered something bad, it passes on protection to the rest of the network in real time. Immunet's community protection feature allows users to invite their friends to become part of a shared protection network. Each user adds strength to the Immunet Community by helping the company detect and prevent a greater number of threats for all users, a term they call ""Collective Immunity"".","Cloud Computing, Security, Software",http://www.immunet.com,"Palo Alto, California, United States","Immunet offers free community-based antivirus software to protect against threats, and uses community awareness for intelligent protection.","251,191","1,100,979","599,739.17",102.59%,-12.76%,"2,270",9.78,-34.36%,18.35%,-33.63%,"102,169","-63,118",-38.19%,"San Francisco Bay Area, Silicon Valley, West Coast",Active,2008-01-01,year,2,501-1000,"Alfred Bauer, Oliver Friedrichs",,,,,
PipelineDeals,https://www.crunchbase.com/organization/pipelinedeals-com,"PipelineDeals is the simplest way to increase your sales team's productivity and grow your sales pipeline. With simple and easy to use CRM and Sales Enablement features, PipelineDeals enables salespeople to be more productive. PipelineDeals offers intuitive solutions to help businesses get organized around their business’s lifelines of future revenue. Part customer relationship management (CRM) software, part sales enablement, part sales productivity platform all wrapped into a simple interface. PipelineDeals was launched in 2006 in Pennsylvania, United States.","Android, Cloud Computing, CRM, SaaS, Software",https://www.pipelinecrm.com,"Seattle, Washington, United States",PipelineDeals is the first sales productivity platform to combine sales engagement and CRM in one easy-to-use application,"36,348","1,069,735","655,086.5",62.45%,106.18%,"1,367",4.77,7.81%,24.38%,-7.76%,"101,040","-34,583",-25.5%,"Greater Seattle Area, West Coast, Western US",Active,2006-05-01,day,2,11-50,"JP Werlin, Nick Bertolino",1,,,,
Acumatica,https://www.crunchbase.com/organization/acumatica,"Acumatica is a provider of cloud business management software that empowers small and mid-size businesses to unlock their potential and drive growth. Built on the world’s best cloud and mobile technology and a unique customer-centric licensing model, Acumatica delivers a suite of fully integrated business management applications such as Financials, Distribution, CRM and Project Accounting, powered by a robust and flexible platform. In an interconnected world, Acumatica enables customers to take full control of their business; to play to their strengths, since every business is unique; and to empower their people by going wherever their people go, on any device.","Cloud Computing, CRM, Developer Tools, Enterprise Software, SaaS, Software",http://www.acumatica.com,"Kirkland, Washington, United States",Acumatica is a provider of cloud business management software that empowers small and mid-size businesses to unlock their potential.,"4,066","1,050,748","707,125.33",53.42%,77.46%,"1,732",5.87,11.16%,31.91%,9.32%,"102,356","-29,382",-22.3%,"Greater Seattle Area, West Coast, Western US",Active,2006-01-01,year,3,101-250,"John S. Howell, Jr., Mike Chtchelkonogov, Serg Bell",,,2967043,USD,2967043
SmartBear,https://www.crunchbase.com/organization/smart-bear-software,"SmartBear is a developer of enterprise-class software development and testing tools.The company's software uses code review, application programming interface (API) and UI level testing and monitoring across mobile, web and desktop applications, enabling enterprises to automate mundane tasks, easily track and report the success of testing efforts.","Cloud Computing, Developer APIs, Information Technology, iOS, Software",http://smartbear.com,"Somerville, Massachusetts, United States",SmartBear is a developer of enterprise-class software development and testing tools.,"1,542","948,137","971,480.83",0.88%,-9.93%,390,1.57,-11.75%,75.81%,1.99%,"110,319","6,053",5.81%,"Greater Boston Area, East Coast, New England",Active,2009-01-01,year,2,251-500,"Jason Cohen, Sallyann Freudenberg",,,4048347,USD,4048347
Clarizen,https://www.crunchbase.com/organization/clarizen,"Clarizen is a global leader in collaborative work management software, bringing together cross-company project management, configurable workflow automation, in-context collaboration, and a tailored, role-based experience, all built on a secure, scalable enterprise platform. Clarizen simplifies work, reduces communication overload, and provides extensive visibility at any level of the enterprise, so everyone can work more effectively, adapt to changes, and achieve their objectives.","Cloud Computing, Collaboration, Enterprise Software, Project Management, SaaS, Software",http://www.clarizen.com,"San Mateo, California, United States",Clarizen is a global leader in project management and collaborative work management software.,"21,176","823,297","1,141,577.5",-40.92%,17.12%,650,4.13,33.08%,29.22%,-18.45%,"126,798","43,735",52.65%,"San Francisco Bay Area, Silicon Valley, West Coast",Closed,2006-01-01,year,2,101-250,"Avinoam Nowogrodski, Tanya Epstein",5,5,,,
goTransverse,https://www.crunchbase.com/organization/tract-by-transverse,"goTransverse delivers one of the leading cloud-based, agile monetization and subscription management platforms on the market. The award-winning platform, TRACT® was named as one of “The Eight Subscription Billing Solution Providers That Matter Most” in The Forrester Wave(TM): Subscription Billing Platforms, Q4 2015. goTransverse powers leading-edge companies who push conventional boundaries with disruptive product and services offerings. The TRACT® platform supports the monetization of any combination of one-time, subscription, and usage-based offerings with near real-time metering, rating and native revenue recognition. The result is top-line revenue growth, faster time-to-market, visibility into revenue streams and operational savings. Our customer base includes publicly traded and privately held companies typically technology-focused in cloud solutions, digital entertainment and media, Internet of Things (IoT), logistics and hosting/managed services. Visit www.gotransverse.com to learn more. Our team has more than 175-years of collective domain experience building billing systems for some of the world’s largest enterprises. The goTransverse team has taken the sophistication, scalability and reliability of on-premise, bespoke billing systems to a true multi-tenant cloud deployment. We have the critical billing expertise to anticipate issues before they become problems and our implementation experts have the ability to help our clients’ teams balance organizational processes with project-specific goals.  TRACT® is the only true SaaS platform with a sophisticated rating/metering engine, native entitlement management and native revenue recognition capabilities on the market today.","Billing, Cloud Computing, Computer, Enterprise Software, SaaS, Software, Subscription Service",http://www.gotransverse.com/,"Austin, Texas, United States","TRACT® by goTransverse is an cloud-based, Internet-scale Agile Monetization Platform (AMP), a.k.a. subscription billing platform","13,102","806,293","603,714.33",15.06%,40.34%,"2,672",10.71,27.35%,9.49%,-51.61%,"124,215","-5,319",-4.11%,Southern US,Active,2008-01-01,year,1,51-100,James Messer,,,254621,USD,254621
AloTech,https://www.crunchbase.com/organization/alotech-72d1,,"Call Center, Cloud Computing, Cloud Management, Software",https://www.alo-tech.com,"Chicago, Illinois, United States",AloTech is a Google and web-based call center platform that offers scalable enterprise functionality to its clientele.,"903,637","772,106","193,988","1,808.46%",157.25%,"3,051",3.17,126.57%,38.76%,-36.73%,"132,898","-827,938",-86.17%,"Greater Chicago Area, Great Lakes, Midwestern US",Active,2007-01-01,year,,51-100,,,,,,
Traumasoft,https://www.crunchbase.com/organization/traumasoft,"Traumasoft is focused on the design and delivery of connected, web-based solutions for the emergency medical service industry.  Traumasoft was founded in 2006 by EMS and software development professionals each with more than 20 years of experience. Frustrated by the lack of automation in EMS operations, Traumasoft is determined to make EMS operations more efficient, more cost-effective, more customer and employee friendly, and higher revenue producing. Traumasoft is headquartered in Kalamazoo, MI and employs people with a passion for EMS and a dedication to high quality solutions.  The company is built on a foundation of hard work, strong ethics and superior customer support. Traumasoft is driven by innovation and a desire to streamline all facets of EMS operations.  Let us know what you think of our solutions and please share any new ideas you have.","Cloud Computing, Computer, Information Technology, Software",http://Traumasoft.com,"Kalamazoo, Michigan, United States",Connected software for the EMS industry.,"187,068","750,585","590,549.33",1.32%,-1.76%,"1,171",2.74,-27.8%,42.32%,-7.27%,"135,624","3,467",2.62%,"Great Lakes, Midwestern US",Active,2006-01-01,year,2,11-50,"Brian Balow, Michael Coffman",,,,,
OnShift,https://www.crunchbase.com/organization/onshift,"OnShift delivers cloud-based human capital management software and proactive services to solve everyday workforce challenges in healthcare. Our suite of products for hiring, scheduling and employee engagement drives quality care, lower costs and higher performance by empowering providers to staff consistently and efficiently. Intuitive design, predictive analytics and customer success management are why thousands of post-acute care and senior living organizations rely on OnShift.","Cloud Computing, Health Care, Hospital, SaaS, Software",http://www.onshift.com/,"Cleveland, Ohio, United States",OnShift delivers cloud-based human capital management software and proactive services to solve everyday workforce challenges in healthcare.,"12,219","706,860","636,444.83",-29.8%,-60.87%,"1,102",11.01,-58.65%,23.49%,2.17%,"136,878","37,989",38.42%,"Great Lakes, Midwestern US",Active,2008-01-01,year,2,251-500,"Gene Groys, W. Matthew Wilson",8,"27,157",1737462,USD,1737462
2U,https://www.crunchbase.com/organization/2u,"2U is a cloud-based Software-as-a-Service platform providing schools with the comprehensive operating infrastructure they need to attract, enroll, educate, support, and graduate students globally. Blending live face-to-face classes, dynamic course content, and real-world learning experiences, 2U’s No Back Row approach ensures that every student can experience the high-quality university education for the most successful outcome. The platform partners with universities to offer online degree programs. 2U supplies universities with the tools, expertise, capital, and global recruiting needed to compete in a space currently dominated by unexceptional programs, while developing state-of-the-art technology platforms that enhance traditional offline curricula to create transformative instruction using the best educational and Web 2.0 technologies. The platform provides the vital logistical components of any online program, including comprehensive student support services from enrollment through graduation and beyond as well as practical learning experiences within distant communities around the country. 2U partners with colleges and universities to deliver the world’s best online degree programs so students everywhere can reach their full potential. It was launched in 2008 and is based in Hanover, M.D.","Cloud Computing, EdTech, Education, Software",http://2u.com,"Hyattsville, Maryland, United States",2U is a cloud-based Software-as-a-Service platform that provides schools with the comprehensive operating infrastructure.,"3,364","701,087","910,033.17",-19.49%,-18.54%,246,2.61,5.79%,37.03%,-21.11%,"137,622","27,121",24.54%,"Washington DC Metro Area, East Coast, Southern US",Active,2008-01-01,year,3,1001-5000,"Chip Paucek, Jeremy Johnson, John Katzman",,,111579857,USD,111579857
Full Slate,https://www.crunchbase.com/organization/full-slate,"Full Slate is to help local service providers use the Web to fill their appointment books. Their easy-to-use online scheduling software is specially designed for small businesses who want more appointments, new clients and loyal customers.","Cloud Computing, E-Commerce, Information Technology, Internet, Messaging, Scheduling, Software",http://www.fullslate.com,"Seattle, Washington, United States",Appointment book for service providers,"386,080","623,572","679,192.67",-3.95%,-27.21%,198,3,-9.68%,43.16%,-5.72%,"155,261","9,804",6.74%,"Greater Seattle Area, West Coast, Western US",Active,2008-01-01,year,,11-50,,,,,,
SHIFT,https://www.crunchbase.com/organization/shift-io,"SHIFT is a provider of cloud-based media collaboration and digital asset management solutions. SHIFT is the pioneer of media-specific collaboration software tools tailored for media & entertainment enterprises, brands and agencies.","Asset Management, Cloud Computing, Software",https://shift.io/,"Boston, Massachusetts, United States",SHIFT is a provider of cloud-based media collaboration and digital asset management solutions.,"155,157","607,416","518,165",31.84%,5.91%,"1,560",2.25,7.71%,56.27%,-1.25%,"158,212","-27,482",-14.8%,"Greater Boston Area, East Coast, New England",Active,2008-01-01,year,1,1-10,Kai Pradel,,,,,
Reward Gateway,https://www.crunchbase.com/organization/reward-gateway,"Reward Gateway helps more than 1,700 of the world's leading companies to attract, engage and retain their best people with an employee engagement platform that brings employee benefits, discounts and perks, reward and recognition, employee wellbeing, employee communications and employee feedback into one unified hub. Clients include American Express, Unilever, Samsung, IBM and McDonald's. For further information, please visit: www.rewardgateway.com Between 2008 and 2011, the company was the 2nd fastest growing technology company in the UK's Sunday Times Tech Track 2011. Also in 2011, the company won both the NatWest Fast Growth Business of the Year and the Service Business of the Year in the Fast Growth Business Awards published by Growing Business Magazine. In 2015, the company debuted at 25th place in the UK's Sunday Times International Track and the following year was placed at 129 in The Sunday Times Grant Thornton Top Track 250. Headquartered in London the business operates in the UK, Australia and USA with a global support and software engineering centre in Plovdiv, Bulgaria.","Cloud Computing, Employee Benefits, Human Resources, SaaS, Software",http://www.rewardgateway.com,"Boston, Massachusetts, United States","The enterprise SaaS employee engagement platform with employee perks, recognition, communications, wellbeing and surveys.","102,395","508,870","490,235.17",96.5%,-11.52%,622,4.19,32.28%,33.42%,-26.77%,"179,705","-97,881",-35.26%,"Greater Boston Area, East Coast, New England",Active,2006-03-01,day,2,251-500,"Chris Whitcombe, Glenn Elliott",6,"37,267",,,
LoveBook Online,https://www.crunchbase.com/organization/lovebook-online,"LoveBook Online is a web application that allows users to create a customizable gift book that lists the reasons why you love someone. Each book can be ordered in hard cover or soft cover. Each page includes a single reason why you love someone and a simple stick figure drawing to help illustrate your reason. The LoveBook Online system is a fully functioning book builder. It allows for flexibility and scalability. A user can create their own ideas from scratch or select from thousands of user-generated love pages (which they can customize later). The system also allows users to select and customize their covers and the artwork that goes on each page. By using our ""Stamp Search"", users can select from thousands of stamps to illustrate their idea. LoveBook Online also utilizes cloud technology to support the constant sending and receiving of files from thousands of users building books.","Cloud Computing, Consumer Goods, Digital Media, E-Commerce, Gift Card, Printing, Psychology, Publishing",http://www.lovebookonline.com,"Royal Oak, Michigan, United States",LoveBook Online is a web application that allows users to create a customizable gift book that lists the reasons why they love someone.,"185,418","429,605","364,352.5",-35%,78.91%,492,3.16,86.6%,47.07%,-42.6%,"202,316","58,728",40.9%,"Greater Detroit Area, Great Lakes, Midwestern US",Active,2007-11-23,day,4,1-10,"Chris Sonjeow, John Baranowski, Kevin Zalewski, Rob Patterson",,,,,
Chef Software,https://www.crunchbase.com/organization/chef,"Chef is a leader in Continuous Automation software, an innovator in cloud-native operations, and one of the founders of the DevOps movement. Chef works with more than a thousand of the most innovative companies around the world to deliver their vision of digital transformation, providing the practices and platform to deliver software at speed.  It’s flagship platform, Chef Automate, unifies infrastructure and applications work and enables enterprise organizations to rapidly and securely build, deploy and manage any application, legacy, or modern, in any environment.  Its Habitat application automation product supports an ever-widening array of application release scenarios, enabling teams to ‘build, deploy and manage’ any app, anywhere. It is ideally suited to ‘Lift, Shift and Modernize’ initiatives as enterprises seek to find a unified way to ship all of their apps – from monoliths to microservices, bare metal to containers, and datacenter to cloud.  InSpec, designed to enable compliance at velocity to accelerate DevSecOps, is the first step in Chef’s ‘Detect, Correct, Automate’ approach to cloud migration and continuous automation. It helps organizations maintain an up-to-date view of compliance status in production, detect security issues long before they reach production, and reduce risk while delivering applications faster.  Chef open source enables users to define infrastructure as code, ensuring that configuration policy is flexible, versionable, testable, and human-readable. Servers managed by Chef are continuously evaluated against their desired state, ensuring that configuration drift is automatically corrected, and configuration changes are universally applied. Used in concert, Chef products do more, better and faster to enable cross-functional development, operations, and security teams to develop, deploy and manage software in the cloud than any other DevOps product suite available today.","Cloud Computing, Information Technology, Infrastructure, SaaS, Software",https://www.chef.io/,"Seattle, Washington, United States",Chef is a continuous automation platform powered by community and open source software engines.,"11,143","419,748","217,216.17",198.43%,2.44%,503,2.39,3.7%,59.82%,-10.31%,"205,586","-215,394",-51.16%,"Greater Seattle Area, West Coast, Western US",Active,2008-09-12,day,5,101-250,"Adam Jacob, Barry Steinglass, Jesse Robbins, Joshua Timberman, Nathan Haneysmith",,,,,
Zipwhip,https://www.crunchbase.com/organization/zipwhip,"Zipwhip features software that helps people businesses have more effective conversations by text-enabling existing phone numbers. Zipwhip pairs direct network connectivity with easy out-of-the-box software, so businesses of any size can give customers the choice to “text or call” and handle two-way text conversations at scale.  It was founded in 2007 and headquartered in Seattle, Washington.","Cloud Computing, Messaging, SaaS, Software, Telecommunications",http://www.zipwhip.com,"Seattle, Washington, United States",Zipwhip features software that helps people businesses have more effective conversations by text-enabling existing phone numbers.,"62,131","411,137","507,842.67",47.9%,54.67%,"1,525",2.75,39.36%,59.17%,-18.98%,"208,655","-55,610",-21.04%,"Greater Seattle Area, West Coast, Western US",Active,2007-01-01,year,4,101-250,"Anthony Riemma, John Larson, John Lauer, Michael Smyers",4,2,,,
