Organization Name,Organization Name URL,Full Description,Industries,Website,Headquarters Location,Description,CB Rank (Company),SEMrush - Monthly Visits,SEMrush - Average Visits (6 months),SEMrush - Monthly Visits Growth,SEMrush - Visit Duration Growth,SEMrush - Visit Duration,SEMrush - Page Views / Visit,SEMrush - Page Views / Visit Growth,SEMrush - Bounce Rate,SEMrush - Bounce Rate Growth,SEMrush - Global Traffic Rank,SEMrush - Monthly Rank Change (#),SEMrush - Monthly Rank Growth,Headquarters Regions,Operating Status,Founded Date,Founded Date Precision,Number of Founders,Number of Employees,Founders,Apptopia - Number of Apps,Apptopia - Downloads Last 30 Days,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD)
Repl.it,https://www.crunchbase.com/organization/replit,"Repl.it is a browser-based integrated development environment (IDE) built for cross-platform collaborative coding. With assist for more than 50 programming languages, it can be utilized to construct apps and websites via a browser on any working system or system (together with cell), with the added skill to share initiatives and create communal workspaces, and grant entry to containers for executing code. The company was founded in 2016 and is headquartered in San Francisco, California.","Cloud Computing, Developer Tools, Information Technology, Software",https://replit.com,"San Francisco, California, United States",Repl.it is a browser-based integrated development environment for cross-platform collaborative coding.,830,"10,673,300","13,177,466.33",-15.95%,0.1%,996,2.18,0.49%,57.17%,-0.57%,"15,950","3,703",30.24%,"San Francisco Bay Area, West Coast, Western US",Active,2016-01-01,year,3,11-50,"Amjad Masad, Faris Masad, Haya Odeh",,,,,
SOHA SYSTEMS,https://www.crunchbase.com/organization/soha-systems,"Soha Systems is the innovator of Enterprise Secure Access delivered as a service. Our service, Soha Cloud, creates a “cloud perimeter” to protect an organization’s infrastructure from Internet threats, including distributed denial of service (DDoS) attacks and botnets. Soha Cloud also minimizes a customer’s attack surface, hides applications from public exposure and grants authenticated users micro-granular access to specific applications. Unlike stand-alone, legacy security tools and network access methods, Soha Cloud integrates data path protection, identity access, application security and management visibility into a single solution to create a cloud perimeter between a user organization’s infrastructure and the Internet.","Cloud Computing, Enterprise Software, Network Security",https://www.akamai.com,"Sunnyvale, California, United States",Soha Systems is the innovator of Enterprise Secure Access delivered as a service.,"31,842","5,039,558","4,042,195.33",45.38%,65.14%,"1,833",12.74,139.71%,34.21%,-28.28%,"30,593","-7,150",-18.94%,"San Francisco Bay Area, Silicon Valley, West Coast",Closed,2013-01-01,year,2,11-50,"Hanumantha Kavuluru, Haseeb Budhani",3,,,,
Kubernetes,https://www.crunchbase.com/organization/kubernetes,"Kubernetes is an open-source system for automating deployment, scaling, and management of containerized applications. It groups containers that make up an application into logical units for easy management and discovery. Kubernetes builds upon 15 years of experience of running production workloads at Google, combined with best-of-breed ideas and practices from the community.","Business Information Systems, Business Intelligence, Cloud Computing, Cloud Data Services",https://kubernetes.io/,"San Francisco, California, United States","Kubernetes is an open-source system for automating deployment, scaling, and management of containerized applications.","33,192","4,527,305","5,627,798.5",-11.6%,27.4%,823,2.13,7.78%,68.15%,-1.53%,"33,319","5,994",21.94%,"San Francisco Bay Area, West Coast, Western US",Active,2014-06-01,month,3,251-500,"Brendan Burns, Craig McLuckie, Joseph Beda",,,,,
RapidAPI,https://www.crunchbase.com/organization/rapidapi,"RapidAPI is an API Hub that enables over 3 million developers to find, manage, and connect to APIs. RapidAPI lets developers manage all API integrations from one place and gives real-time performance metrics.  RapidAPI was founded in 2014 and is headquartered in San Francisco, California.","Apps, Cloud Computing, Developer APIs, Information Technology, SaaS",https://RapidAPI.com,"San Francisco, California, United States","RapidAPI is an API Hub that enables developers to find, manage, and connect to thousands of APIs.","23,534","3,495,064","3,160,865.5",21.04%,8.81%,568,2.01,7.92%,68.42%,2.67%,"41,089","-2,582",-5.91%,"San Francisco Bay Area, West Coast, Western US",Active,2015-01-01,year,2,101-250,"Iddo Gino, Mickey Hasalvsky",,,,,
9Cloud,https://www.crunchbase.com/organization/9cloud,,"Cloud Computing, Internet, Web Design, Web Hosting",https://www.9cloud.us/,"Boston, Massachusetts, United States",9Cloud is a content storage service for website owners that are hosted privately.,"782,176","3,038,491","3,825,205",245.77%,32.73%,438,1.78,3.95%,57.23%,-14.13%,"45,972","-63,770",-58.11%,"Greater Boston Area, East Coast, New England",Active,2013-01-01,year,,,,,,,,
Red Hat Ansible,https://www.crunchbase.com/organization/ansible,"Ansible is an automation engine that makes systems and applications simple to deploy. It does not require custom scripting or custom code, and it uses an automation language that is easy for anyone to understand and learn. The company also provides enterprise-ready commercial offerings that help teams manage complex multi-tier deployments by adding control, knowledge, and delegation to Ansible-powered environments. Ansible can be used by anyone, including sysadmins, developers, and IT managers. It was launched in 2013 by Michael DeHaan, Said Ziouani, Timothy Gerla, and is based in Santa Barbara, C.A.","Cloud Computing, Enterprise Applications, Enterprise Software, Internet, Software",http://ansible.com,"Santa Barbara, California, United States",Red Hat Ansible is an automation engine that makes systems and applications simple to deploy.,"46,781","2,671,136","3,565,922",-15.65%,69.52%,890,1.9,6.97%,61.81%,-9.46%,"50,636","10,088",24.88%,"West Coast, Western US",Active,2013-01-01,year,3,5001-10000,"Michael DeHaan, Saïd Ziouani, Timothy Gerla",,,,,
Vultr Holdings Corporation,https://www.crunchbase.com/organization/vultr-holdings-llc,"Vultr, the Independent Cloud, provides developers and businesses around the world with easy-to-use, high-performance cloud infrastructure at a fraction of the cost of the Big Tech clouds. Featuring virtualized Cloud Compute, Bare Metal, and managed Kubernetes, Vultr has enabled over a million customers to run applications on an elastically scalable cloud that delivers industry-leading price-performance. Many customers prefer Vultr because it offers more than 20 data center locations, across 5 continents, allow them to minimize latency by placing computing power close to end users. Vultr is profitable, privately owned, and part of The Constant Company, LLC. Vultr Holdings was founded in 2014 by David Aninowsky with offices in Central New Jersey and South Florida.    We're hiring!  Join our team today at vultr.com/company/careers/","Cloud Computing, Cloud Infrastructure, Cloud Storage, Web Hosting",https://www.vultr.com,"West Palm Beach, Florida, United States","Vultr, the Independent Cloud, provides developers and businesses with powerful cloud infrastructure at an unbeatable price.","86,236","2,560,197","2,627,488.67",0.67%,14.38%,827,4.58,-2.3%,47.28%,-2.78%,"53,678","1,177",2.24%,"Greater Miami Area, East Coast, Southern US",Active,2014-01-01,year,1,101-250,David Aninowsky,,,,,
Zype,https://www.crunchbase.com/organization/zype,"Zype provides the infrastructure for digital video with a cloud-based platform to manage and distribute enterprise-grade video across the web, mobile, TV, and social media. Offering both developer-friendly tools such as customizable APIs as well as turnkey solutions for OTT apps and linear/FAST channels, Zype’s SaaS solutions enable video creators or distributors to quickly build, launch and manage superior video products at scale.","Cloud Computing, Digital Media, Mobile Advertising, Video, Video Streaming",http://www.zype.com,"New York, New York, United States",Zype provides the infrastructure for digital video with a cloud-based platform to manage and distribute enterprise-grade video.,"9,401","2,545,802","5,120,769.33",22.3%,108.41%,446,2.5,-48.6%,51.24%,120.29%,"52,459","-4,319",-7.61%,"Greater New York Area, East Coast, Northeastern US",Active,2013-01-01,year,2,11-50,"Chris Bassolino, Ed Laczynski",6,,238032,USD,238032
StackShare,https://www.crunchbase.com/organization/stackshare,"StackShare is a community that helps developers and engineers discover and compare software tools. Our vision is to transform how SaaS tools and infrastructure are bought and sold. Choosing SaaS and cloud infrastructure tools is difficult. If you’re a developer looking for a hosting solution, you have hundreds of options and no clear way to sift through them all. We’ve built a community of developers, engineers, CTOs, and VPEs that recommend, review, and share their technology stacks. They have significant buying power and a need for tooling and infrastructure services, from startups to large enterprises. The options they have are confusing and increasing in number by the day - they’re desperate to get help choosing the right solutions. StackShare lets technologists see all the best tools and services, who are using them, and why.","Cloud Computing, Computer, Developer Tools, SaaS, Software",https://stackshare.io,"San Francisco, California, United States",StackShare is on a mission to connect every developer in the world with the right tools and the companies using them.,"1,432","1,550,347","1,635,473.17",11.96%,34.02%,260,1.5,-0.62%,79.98%,1.33%,"78,982","-4,479",-5.37%,"San Francisco Bay Area, West Coast, Western US",Active,2014-01-01,month,1,11-50,Yonas Beshawred,,,,,
ScaleFT,https://www.crunchbase.com/organization/scaleft,"ScaleFT is a software company building the next generation of cloud-native access management solutions. The company offers a comprehensive Zero Trust platform that unifies access controls across all user and resource types, saving from having to deploy and manage disparate PAM and IAM products. It controls access to their company resources through an intelligent access fabric that makes smarter trust decisions in real-time based on dynamic user and device conditions. ScaleFT was founded in 2015 and is headquartered in San Francisco, California, United States.","Cloud Computing, Electronics, Information Technology, Infrastructure, Security, Software",https://scaleft.com,"San Francisco, California, United States",ScaleFT is a Zero Trust access management company that builds the next generation of cloud native solutions for enterprises.,"32,071","1,393,615","782,525.17",147.57%,-74.8%,128,1.4,-31.93%,66.04%,32.85%,"85,648","-75,471",-46.84%,"San Francisco Bay Area, West Coast, Western US",Active,2015-05-11,day,4,11-50,"Jason Luce, Paul Querna, Robert Chiniquy, Russell Haering",,,,,
STACKPATH,https://www.crunchbase.com/organization/stackpath,"StackPath is a cloud platform built at the internet’s edge, providing infrastructure and services physically closer to the source or destination of data than hyperscale cloud service providers. StackPath Edge Compute (including virtual machines and containers), Edge Delivery (including CDN and serverless scripting), and Edge Security (including WAF) solutions run in edge locations strategically deployed in high-density markets and united by a secure global network and a single management system. Customers ranging from Fortune 50 enterprises to one-person startups trust StackPath to give their latency-sensitive workloads and real-time applications the speed, security, and efficiency they require. StackPath was founded in 2015, is headquartered in Dallas, and operates around the world.","Cloud Computing, Cloud Data Services, Cloud Infrastructure, Cloud Management, Cloud Security, Cloud Storage, Internet, Private Cloud",https://www.stackpath.com/,"Dallas, Texas, United States","Edge computing, edge delivery, & edge security solutions, enabling businesses to build, accelerate, & protect latency-sensitive workloads.","22,543","1,245,319","637,086.5",307.58%,69.28%,"1,102",5.13,39.52%,17.64%,-42.43%,"93,475","-156,613",-62.62%,"Dallas/Fort Worth Metroplex, Southern US",Active,2015-01-01,year,4,251-500,"James Leaverton, Jason Gulledge, Lance Crosby, Ryan Carter",,,3056185,USD,3056185
CEIPAL,https://www.crunchbase.com/organization/ceipal-llc,"CEIPAL Cloud Portal is an integrated HCM (human capital management) solution delivers in a single platform from hiring, on-boarding, self-service portal, workforce collaboration, time management, expense management, leaves management and administration, and Payroll data management. Since 2015, CEIPAL has been raising the bar in the HR software industry, with many of our innovations becoming industry-standard. CEIPAL is the first company to put powerful, easy-to-use recruiting &and","Cloud Computing, Enterprise Software, Human Resources, Internet, Recruiting, SaaS, Software, Staffing Agency",https://www.ceipal.com/,"Rochester, New York, United States",CEIPAL is an integrated Cloud HCM solution delivers in a single platform from hiring to workforce collaboration from anywhere anytime.,"5,259","1,212,613","1,075,515.17",37.95%,1.94%,"1,889",6.64,20.23%,35.87%,-13.34%,"95,110","-21,492",-18.43%,"Great Lakes, East Coast, Northeastern US",Active,2015-12-05,day,1,101-250,Sameer Penakalapati,,0,125824,USD,125824
ManyWho,https://www.crunchbase.com/organization/manywho,"ManyWho is a cloud platform enterprise that transforms business processes into engaging and responsive social software applications. ManyWho was founded by Dave Norris and Steve Wood in May 2013 and is based in San Francisco, California.","Cloud Computing, Information Services, Information Technology, Mobile, SaaS, Software",http://manywho.com,"San Francisco, California, United States",ManyWho is a cloud platform enterprise that transforms business processes into engaging and responsive social software applications.,"91,774","1,148,229","631,268.83",94.02%,-57.12%,316,1.15,-10.84%,87.23%,4.18%,"98,962","-56,477",-36.33%,"San Francisco Bay Area, West Coast, Western US",Active,2013-05-01,day,2,1-10,"Dave Norris, Steve Wood",,,,,
