Organization Name,Organization Name URL,Founded Date,Founded Date Precision,Number of Employees,Full Description,Website,Industries,Headquarters Location,Description,CB Rank (Company),SEMrush - Monthly Visits,SEMrush - Average Visits (6 months),SEMrush - Monthly Visits Growth,SEMrush - Visit Duration Growth,SEMrush - Visit Duration,SEMrush - Page Views / Visit,SEMrush - Page Views / Visit Growth,SEMrush - Bounce Rate,SEMrush - Bounce Rate Growth,SEMrush - Global Traffic Rank,SEMrush - Monthly Rank Change (#),SEMrush - Monthly Rank Growth
Desire Group International limited,https://www.crunchbase.com/organization/desire-group-international-limited,2022-09-08,day,1-10,"Desire Group International is a U.K based company,  headquartered in Central London. Our Mission is to make your world better and will accelerate your company's growth and bring in the ideal clients We possess the key to changing it through conversation and revolutionising the revenue streams. Our goal is to support the companies growth with tried-and-true advanced strategies that generate high-level growth. We are an exceptional growth partners and use the most innovative approaches to modern sales development and enhance your revenue with a better deal closure rate all without raising any funding. We are focused on using various cutting-edge technology to bring the best solution for you and our highly experienced team works along well with it. Working with us will give you a better competitive advantage as we have partnerships with various companies across who are experienced, ambitious, and have a DESIRE to grow themselves. Growing business For different Companies In Various Sectors",https://www.desiregroupinternational.co.uk/,"Business Development, Collaboration, Enterprise Software, Information Technology, Marketing, Marketing Automation, Professional Services, SaaS, Sales, Software","London, England, United Kingdom","Saas, Business development, Techsales, Marketing, Technology, Services,","412,544",,,,,,,,,,,,
WorkHub Platform Inc.,https://www.crunchbase.com/organization/workhub-ai,2022-08-01,month,51-100,"WorkHub is a tech company established in July 2022, providing affordable team productivity solutions, especially for remote work. Our mission statement is to create affordable productivity solutions for all businesses. Our target market is B2B customers around the globe. Our software systems improve communication, collaboration, employee rewards, and recognition. WorkHub empowers organizations to overcome challenges using technology. Our employees are our great resource and the focal point of our competitive advantage. We are growing very fast and reached 50+ team members in a short time.",https://www.workhub.ai/,"B2B, Collaboration, Software","San Jose, California, United States","WorkHub is providing affordable team productivity solutions and improve communication, collaboration, employee rewards, and recognition","229,404","130,118","39,753.17","1,382.32%",14.91%,925,3.51,-13.63%,27.45%,-12.08%,"459,552","-1,880,548",-80.36%
Neu Ocean Technologies,https://www.crunchbase.com/organization/neu-ocean-technologies,2022-02-24,day,101-250,"Neu Ocean offers a comprehensive business management solution to help business increase productivity and improve quality with minimum resources ar less time. The solution is a set of over 130 modules and features including Accounting, HRM, Sales, Inventory, CRM, project management, web builder, customer service, email marketing, social media management customers' portal, suppliers' gateway and more, all at one dashboard and sharing the same database. All are integrated with Unified communication tools and collaboration features. Neu Ocean was founded in 2022 by Amir Negm and is based in London, United Kingdom.",https://neuocean.com,"Cloud Computing, Collaboration, Enterprise Software, IaaS, Information Technology, PaaS, Productivity Tools, Project Management, SaaS","London, England, United Kingdom",Scalable AI-powered business management and automation PaaS & IaaS Provider.,"134,636",,,,,,,,,,,,
Coleridge Initiative,https://www.crunchbase.com/organization/coleridge-initiative,2022-01-01,year,11-50,"The Administrative Data Research Facility (ADRF) provides a secure platform to host confidential micro-data. The ADRF is designed to promote collaboration, facilitate documentation, and provide information about use to data stewards.  They are working with the research community to build a set of tools that enable collaborative knowledge creation and discovery with confidential microdata. Their goal is to transform the empirical foundation of social and health sciences research.",https://coleridgeinitiative.org/,"Analytics, Collaboration, Information Technology","Brooklyn, New York, United States",Coleridge Initiative is a company that provides cutting-edge analytics skills and apply them to real world micro-data.,"78,611","1,572","9,001",-64.86%,47.32%,165,3.81,26.97%,6.36%,-80.92%,"6,062,300","2,483,928",69.42%
Calliper,https://www.crunchbase.com/organization/calliper,2022-01-01,year,1-10,,https://www.getcalliper.com/,"Analytics, Business Intelligence, Collaboration, Data Visualization","London, England, United Kingdom",Making data accessible and actionable for every team.,"169,793","4,050",,,,191,2.92,,10%,,"3,743,703",,
Countercyclical,https://www.crunchbase.com/organization/countercyclical,2022-01-01,year,1-10,,https://countercyclical.io,"Analytics, Collaboration, Finance, Internet","Chicago, Illinois, United States",Countercyclical is an investment analysis and valuation platform that helps investors build and manage their investment workflows,"179,178",,,,,,,,,,,,
Coze,https://www.crunchbase.com/organization/coze-e267,2022-01-01,year,11-50,"Coze is a collaboration-enabled virtual office space that helps remote and hybrid teams stay connected through building a presence-based culture and work productively through drop-in audio/video chats and engaging and interactive meeting solutions. Coze allows teams to interact more spontaneously, work more creatively, and establish a stronger team culture.",https://coze.com ,"Collaboration, Enterprise Software, Messaging, Productivity Tools","Mountain View, California, United States",Coze is a virtual office platform for remote and hybrid teams,"605,007",,,,,,,,,,,,
Specroot,https://www.crunchbase.com/organization/specroot,2022-01-01,year,1-10,,https://specroot.com/,"Collaboration, Project Management","Tallinn, Harjumaa, Estonia","Helping you and your team turn the right ideas into reality, faster.","651,032",,,,,,,,,,,,
TrackBug,https://www.crunchbase.com/organization/trackbug,2022-01-01,year,11-50,,https://trackbug.io,"Collaboration, Information Technology","Delhi, Delhi, India",TrackBug is a cloud-based suite solution for enterprise collaboration.,"1,036,938",,,,,,,,,,,,
NocoDB,https://www.crunchbase.com/organization/xgenecloud,2021-12-01,month,1-10,"NocoDB is an open-source Airtable alternative that transforms existing databases into a smart spreadsheet. The company was founded in 2021 and is headquartered in San Francisco, California, United States.",https://nocodb.com,"Collaboration, Database, Infrastructure, Open Source","San Francisco, California, United States",NocoDB is an open-source nocode database that instantly provides spreadsheets over databases.,"2,145","52,329","36,001.67",31.71%,446.52%,"1,022",1.34,10.41%,74.57%,-8.47%,"840,461","-131,186",-13.5%
Werk,https://www.crunchbase.com/organization/werk-d25a,2021-09-01,day,11-50,"Werk enables remote teams to reach their most productive version of them. With async conversations, enrich the team’s location and time independency. With task management, thread chat and hyperdocs features enhance working asynchronously. Also, when you need a quick touch to your teammates ping them and drop in to sync voice chat.",https://usewerk.com,"B2B, Collaboration, Communications Infrastructure, Document Management, Productivity Tools, Project Management, SaaS, Software","San Francisco, California, United States",Werk is an asynchronous collaboration tool for remote and hybrid teams.,"59,947","1,492","1,303.5",349.4%,-96.2%,0,1,0%,100%,0%,"6,184,638","-2,776,329",-30.98%
Gold House Ventures,https://www.crunchbase.com/organization/gold-house,2021-07-01,month,1-10,"Gold House is the Asian and Pacific Islander (API) changemaker community, fighting together for socioeconomic equity. Through a suite of innovative programs and platforms, the organization unites, invests in, and promotes API creative and companies. To learn more, visit www.goldhouse.org or follow @GoldHouseCo on Instagram, Twitter, Facebook, and LinkedIn.",https://goldhouse.org/,"Collaboration, Marketing, Venture Capital","Walnut, California, United States",Gold House Ventures invests in the most promising Asian and Pacific Islander founded companies.,"74,922","32,759","23,667.67",22.31%,61.06%,699,2.55,-6.02%,74.15%,73.01%,"1,125,894","-115,757",-9.32%
hiremoter,https://www.crunchbase.com/organization/hiremoter,2021-06-16,day,1-10,"Remote job opportunities aren´t just for developers and engineers. We help job seekers, outside of coding, finding their dream remote job.",https://www.hiremoter.com/,"Collaboration, Human Resources, Recruiting, Social","London, England, United Kingdom",hiremoter.com is a platform that connects remote job seekers with the best remote jobs opportunities.,"1,380,671",,,,,,,,,,,,
Bottle,https://www.crunchbase.com/organization/bottle-40fb,2021-06-06,day,1-10,Bottle is a work management and communication software for teams. We are on a mission to enable teams to collaborate efficiently and increase overall productivity.,https://www.bottlehq.com/,"Collaboration, Productivity Tools, SaaS, Software","Mumbai, Maharashtra, India",SaaS - Collaboration software for teams for work management and communication,"558,267",,,,,,,,,,,,
HITMKR,https://www.crunchbase.com/organization/hitmkr,2021-06-03,day,1-10,Collaboration platform for creatives,https://www.hitmkr.com/,"Collaboration, Media and Entertainment, Software","Austin, Texas, United States",Collaboration platform for creatives,"80,152",,,,,,,,,,,,
Arkchat Ltd,https://www.crunchbase.com/organization/Arkchat,2021-06-03,day,11-50,"Arkchat is a business messaging platform. It helps SMEs manage day to day business efficiently by cutting cost, time, and effort. SMEs also get business by connecting to new customers.     Many first ever innovations differentiate Arkchat from existing business messaging platforms.  Arkchat is the only messaging platform that:  1. Integrates a business messaging platform with a marketplace.  2. Lets everyone converse in their own language while collaborating with others. Messages are automatically translated into over 76 languages.   3. Enables users to discuss chat attachments. Discussions are tagged to respective attachments for reference.  4. Lets day to day messages be converted to tasks or approval requests with one click. 5. Sorts messages by topic or relevance.  6. Allows SMEs to invite freelancers, service providers, and product sellers to chat groups through the Arkchat marketplace.  7. Brings a flovour of social media Messaging in Arkchat takes centre stage. Arkchat has made messaging so powerful that SME team, its vendors, partners, and customers remain in sync with simple day to day messaging.  When day to day messages are converted to tasks and approval requests, SMEs have unprecedented capabilities to manage their business without extra efforts.  Integration of messaging with a marketplace helps buyers and sellers connect with each other. While collaborating with their teams, SME teams can find and engage in conversation with freelancers, service providers, and product sellers. On the one hand SMEs can source products and services while on the other hand sellers get new business opportunities.  Videos, and interesting content shared by SMEs and  professionals in Arkchat gallery not only helps them get likes and followers but also enhances their brand perception.    Arkchat is global, besides making businesses more productive and profitable, it promotes cross-border commerce and provides professionals with freelancing and job opportunities.",https://www.arkchat.com,"Collaboration, Information Technology, Messaging, Mobile Apps, Social Network, Software, Task Management","London, England, United Kingdom",Arkchat is a messaging app that SMEs use to manage entire business & get new business,"254,668",,,,,,,,,,,,
DailyBot,https://www.crunchbase.com/organization/dailybot,2021-06-01,month,11-50,"DailyBot is an automation platform and chat assistant for the new generation of workers. DailyBot provides a standalone web app and a chat assistant that lives in your Slack, Discord, Microsoft Teams or Google Chat workspace. It’s the best companion for your team, improving collaboration, employee experience and work efficiency. Use DailyBot to automate workflows like daily stand-ups, team check-ins, surveys, watercooler chats, 1:1 intros, kudos to promote positive feedback/recognition, monitor your team’s morale anonymously or run periodic mental health checks. The platform is customizable and you can build your own commands for in-chat operations. Running a successful team is easier with DailyBot.",https://www.dailybot.com/,"Apps, Collaboration, SaaS, Software","Westwood, New Jersey, United States",Chat assistant and automation platform for the new work generation,"161,381","69,870","47,057.5",-15.61%,27.49%,422,2.51,66.12%,57.48%,-14.55%,"693,911","92,517",15.38%
"BeatcliQ, Inc",https://www.crunchbase.com/organization/beatcliq-inc,2021-06-01,day,1-10,"A journey into the beats we love, a creation platform, a collaboration network for DJ's around the world. BeatcliQ brings you closer to a niché cliq for the love of these sounds. Live streaming and beat mixing technology that brings you in tune with your viewers and connects your mixes on a global scale. The latest in tech/house news directly in your feeds. Connect, follow, like, share and get your body flow moving to mind thrilling sounds! BeatStream for content creators enables members to live stream their attended event and monetize as their viewers increase. Collaboration hub for DJ's across the world, tutoring provided by verified DJ's to aspiring DJ's and so much more.",https://beatcliq.com,"Audio, Collaboration, Content, Content Creators, Digital Entertainment, Digital Media, Internet, Music, Video","Delaware City, Delaware, United States","Media & Entertainment, Niche music and content creation platform, DJ collaborations, brainstorming, live stream to global audiences & more.","847,635",,,,,,,,,,,,
FlyCode,https://www.crunchbase.com/organization/flycode-097d,2021-05-13,day,1-10,FlyCode is a low-code platform that empowers product teams to offload work from engineering. Companies like Kong and C2FO use FlyCode to launch and iterate on products faster with less development work.,https://www.flycode.com,"Collaboration, Developer Tools, Product Management, Productivity Tools, SaaS, Software, Web Development","New York, New York, United States",Enterprise Low-Code Platform,"187,120","48,223","29,716.5",84.74%,"11,777.78%","3,207",1.96,88.91%,62.98%,-34.72%,"884,245","-378,249",-29.96%
BrightCore,https://www.crunchbase.com/organization/brightcore-1533,2021-04-05,day,,"BrightCore is a software-as-service company that helps organizations succeed by simplifying and accelerating the process of developing their brand strategy and marketing communications to improve their mission outcomes and ROI. By leveraging BrightCore’s integrated brand development and management tools, organizations can define the essential “DNA” of their brand, their audience, and their essential messaging in a way that increases the coherence, consistency and efficacy of their marketing efforts across channels, and is easily accessible to all team members.",,"Brand Marketing, Collaboration, Digital Marketing, Document Management, SaaS","San Francisco, California, United States",BrightCore is SaaS that helps organizations with their process of developing a brand strategy and marketing communications.,"969,754",,,,,,,,,,,,
Viseet.me,https://www.crunchbase.com/organization/viseet-me,2021-03-10,day,1-10,"Viseet.me is a platform that allows you to organise virtual events to recruit, communicate and prospect. You can create events to your image and create different rooms according to your needs. Simplified management of your event: customisable registration form, profile selection, follow-up and mailing directly from your space. Chat, exchange and comment live with participants and find this data after your event.",https://www.viseet.me,"Collaboration, Event Management, Events, Meeting Software, Professional Networking, Recruiting, Social Recruiting, Video Conferencing","Paris, Ile-de-France, France","Viseet.me is a platform that allows organizing virtual events to recruit, communicate and prospect.","709,055",418,,,,34,2,,0%,,"8,623,431",,
Range,https://www.crunchbase.com/organization/range-5a4b,2021-03-01,month,,"Range is a collaboration platform for spatial data that enables anyone to discuss, document, and operationalize the physical world.",http://www.range.io,"CAD, Collaboration, Geospatial, Software","Redwood City, California, United States",Range is a collaboration platform for spatial data.,"81,353",,,,,,,,,,,,
Covalo,https://www.crunchbase.com/organization/covalo,2021-03-01,day,1-10,"Covalo™ is disrupting how formulation-driven products are developed in the 3 trillion euro consumer goods industry so brands can reduce time to market by scouting ingredients and packaging, collaborating on projects, and purchasing -- all from one place. . Today it's one of the largest beauty ingredient search platforms that connects beauty brands with suppliers of ingredients, packaging, and services such as contract manufacturing, formulation, regulatory, compliance and testing. It also arms suppliers with the tools and real-time industry insights needed to effectively market products. Covalo launched in 2021 and is based in Switzerland.",https://covalo.com/,"Chemical, Collaboration, Consumer Goods, Food and Beverage, Green Consumer Goods, Sustainability","Zürich, Zurich, Switzerland",Covalo is disrupting how formulation-driven products are developed in the consumer goods industry.,"219,990","10,894","6,484.83",222.79%,166.67%,0,1,0.24%,99.76%,-0.24%,"2,136,159","-1,865,337",-46.62%
NFT-V Miami,https://www.crunchbase.com/organization/nft-ventures-llc-miami,2021-03-01,month,1-10,From Collectible NFTs to different Gaming/Utility NFTs to the Metaverse (Web3),https://www.nft-ventures.com,"Art, Collaboration, Collectibles, Consulting, Mobile Apps, Video Games, Virtual Reality","Miami, Florida, United States",NFT NATIVES/Enthusiasts with best in class service for Co-Producing NFT Artist Collabs & NFT Gaming/Utility to the Metaverse (Web3),"350,225",405,,,,0,1,,100%,,"8,668,308",,
Texterify,https://www.crunchbase.com/organization/texterify,2021-03-01,day,1-10,,https://texterify.com,"Collaboration, Developer APIs, Software, Translation Service","Vienna, Wien, Austria",Texterify is a localization and translation management system to automate the translation process.,"1,131,048",241,,-96.52%,-99.21%,9,2,-43.6%,0%,-83.44%,"9,494,697","6,821,637",255.2%
WorqHat,https://www.crunchbase.com/organization/worqhat,2021-02-02,day,11-50,"WorqHat is a powerful and easy-to-use platform that lets you build your own brandable Custom Apps, Workflows, and Automation for every part of your business. Whether you are a Solopreneur, a Startup or a Large Scale Enterprise, you can build workflows and automation for every part of your business—from sales and marketing to HR and operations—it also allows you to automate workflows so that your team can focus on what really matters: growing the business. Benefit from a global ecosystem of creators and Industry Experts that work together with our team of Developers, we make sure that each application is easy to use and works seamlessly with your existing data.",https://www.worqhat.com/,"Collaboration, College Recruiting, Education, Industrial Automation, Information Technology, Internet, SaaS, Software, Web Apps","Pune, Maharashtra, India","With a simple click interface, build custom Apps, Workflows and Automation for your organization without any dev time.","30,972",,,,,,,,,,,,
