Organization Name,Organization Name URL,Founded Date,Founded Date Precision,Number of Employees,Full Description,Website,Industries,Headquarters Location,Description,CB Rank (Company),SEMrush - Monthly Visits,SEMrush - Average Visits (6 months),SEMrush - Monthly Visits Growth,SEMrush - Visit Duration Growth,SEMrush - Visit Duration,SEMrush - Page Views / Visit,SEMrush - Page Views / Visit Growth,SEMrush - Bounce Rate,SEMrush - Bounce Rate Growth,SEMrush - Global Traffic Rank,SEMrush - Monthly Rank Change (#),SEMrush - Monthly Rank Growth
ClipMe Oy,https://www.crunchbase.com/organization/clipme-oy,2013-11-01,day,1-10,ClipMe is a fun way to create short video stories with friends no matter where they are.,http://clipme.co,"Android, Collaboration, iOS, Mobile, Video","Helsinki, Southern Finland, Finland",ClipMe offers new ways to create and share moments together with people you love through 15-second collaborative videos.,"179,333",,,,,,,,,,,,
Whiteboard,https://www.crunchbase.com/organization/whiteboard,2013-11-01,day,1-10,"Whiteboard is the easiest way to organize your tasks and be more productive in your day. From the to-dos at home, to the tasks and projects you are collaborating on with others, accomplish more with less effort with an app that is flexible to your way of getting things done. - Focus on what you need to get done with to-dos that automatically appear in your Today List based on start date or due date. - Clear and conquer your daily to-do list with a swipe! Swipe tasks as Done or off to Later for the ones you can’t get to today.  - Organize anything you are working on within workspaces. Use a personal workspace for your to-dos around the house and collaborate with others in a shared workspace on projects at work. - Collaboration that works! Delegate, comment and receive updates on any to-do! Even invite clients and limit what they have access to by hiding to-dos, lists and files. - Stay up-to-date and keep track of what has taken place in a workspace all from within the Activity feed. - Designed to provide an experience that is a delight. - Real-time sync across all your devices that is so fast, some say it’s magic! - Support that will leave you smiling : ) Learn more at http://whiteboard.co  ",http://www.whiteboard.co,"Collaboration, Mobile, Mobile Apps, Project Management, Software, Task Management","Tulsa, Oklahoma, United States",Conquer your day's to-do list both at home and at work with a swipe.,"345,725",,,,,,,,,,,,
Jell,https://www.crunchbase.com/organization/socionics-io,2013-11-01,day,1-10,"Jell helps detect the team chemistry by identifying personality traits of individuals to understand how they will ""Jell"" with a team. Jell identifies how well members can work together with minimal distraction or deviation. Jell also empowers leaders to proactively determine which individuals will be most productive and who will have conflicts. Jell is essential for : Sales Team Development, Allocating Project Teams, Managing Existing Conflict, Identifying Potential Conflict, Persuading Your Client, and Team Motivation. The social aspect of Jell can be used to determine how well roommates can Jell, how compatible couples can be, and how well sports team players will Jell.",http://www.jellable.com,"Collaboration, Enterprise Software, Human Resources, Software","San Francisco, California, United States",Jell helps identify personalities that work well together,"601,150",,,,,,,,,,,,
"Skyline Labs, Inc",https://www.crunchbase.com/organization/skyline-labs-inc,2013-11-01,day,1-10,,http://skylinelabs.skylineinc.net/,"Collaboration, Enterprise Software, Machine Learning","Sunnyvale, California, United States",Skyline Labs is a developer of enterprise and machine learning tools.,"1,762,547",,,,,,,,,,,,
studentQuest,https://www.crunchbase.com/organization/studentquest,2013-11-01,day,1-10,"studentQuest is a free, student-targeted, multi-campus digital job board that seeks to strengthen the collaboration between college students and other on/off-campus communities. The site is created as a replacement for traditional, inefficient flyers still being posted around college campuses nowadays. studentQuest provides an efficient platform for college students to form start-up ventures or study groups with other fellow students. It also allows employers (professors, school organizations, start-ups, local businesses or large companies) to actively reach out to larger student communities at any campus across the country for free. It takes just a few clicks to post jobs on studentQuest. Applicants will be immediately notified when there are new jobs match their skills and interests. Employers are updated with daily traffic to the postings, can easily modify the postings to attract the best candidates possible and enjoy many other useful features. studentLancer, a component of studentQuest, lets college students monetize their skills, traits, talents and free time by offering freelance services to customers.",http://studentQuest.org,"Career Planning, Collaboration, Recruiting","Berkeley, California, United States",Free career website for college students,"2,142,540",,,,,,,,,,,,
Restdb,https://www.crunchbase.com/organization/restdb,2013-10-30,day,1-10,"restdb.io is a “database-app-as-a-service” that radically reduces development and cycle-times for delivering database solutions and back-ends. The big idea behind restdb.io is that productive database apps can be specified interactively and made instantly available for end-users. In addition, the data can be easily consumed and integrated with web-sites, servers and IoT-devices using a simple API. Unlike other companies that offer “back-end as a service” or pure database solutions with APIs, restdb.io automatically provides a data management and productivity app on top of the data model.  Bottom line, restdb.io saves a ton of money and time and gives businesses and developers a whole new world of possibilities.",https://restdb.io,"Cloud Data Services, Collaboration, Database","Bergen, Hordaland, Norway",The Plug and Play Database Service,"846,522","32,271","108,250",-69.76%,464.52%,175,1.81,32.87%,60.81%,-21.98%,"1,137,117","629,694",124.1%
Jinglr,https://www.crunchbase.com/organization/jinglr,2013-10-25,day,1-10,"Jinglr provides a platform for collaborative music creation. It allows users to create songs by mixing audio tracks uploaded by everyone. Let's say you're a guitarist and you come up with a cool little riff. You upload it, and then later a drummer listens to it and decides he wants to add on to it. Suddenly: collaboration.",http://jinglr.com,"Collaboration, Music, Social Media","Miami, Florida, United States",Jinglr provides a platform for collaborative music creation.,"2,033,560",,,,,,,,,,,,
BrainCert,https://www.crunchbase.com/organization/braincert,2013-10-18,day,11-50,"BrainCert, launched in the year 2013, is a technology-focused and cloud-native agile software development company with a passion to develop innovative SaaS products that foster continuous disruption. BrainCert offers the essential building blocks to create a robust and cost-effective e-learning ecosystem in the cloud without worrying about scalability, performance and security posture. BrainCert's all-in-one unified training platform is very light, modern, responsive, and super easy-to-use platform that is designed to deliver any time of training online. This cloud-based SaaS white-label solution is tailored for organizations to run their own custom branded learning, and teaching platform with real time tracking of training results. BrainCert comes integrated with 4 core platforms in one unified solution - courses platform, online testing platform, award-winning virtual classroom, and unified content management system. The result - significant cost savings, increasing productivity, and secure, seamless and enhanced user experience across all platforms. ------------------------- Four Products. One Platform. ------------------------- eLearning Platform -  A social learning platform designed for instructors to sell courses, tests and live classes in the global marketplace with built-in social networking tools. Enterprise LMS -  Enterprise LMS - A complete white-label platform for schools, universities, and enterprises to easily on-board, engage, collaborate, and retain students, employees or customers with role-based access control.  Virtual Classroom as a Service (VCaaS) -  Powerful REST-based Developer API to easily integrate WebRTC powered HTML5 Virtual classroom in any website, CMS, LMS, or app. Meeting Rooms -  Real-time web conferencing powered by collaboration tools with a fully branded personalized link and vanity domains.",http://www.braincert.com,"Collaboration, E-Learning, Education, SaaS, Social Media, Software, Test and Measurement, Training, Video Streaming","Herndon, Virginia, United States","BrainCert is a unified training platform to create, market, and sell online courses, assessments, products, and live classes.","570,356","39,298","71,150.83",-73.79%,315.04%,"1,407",6.41,219.69%,36.31%,-57.79%,"1,006,218","603,413",149.8%
Newency,https://www.crunchbase.com/organization/newency,2013-10-03,day,1-10,"Does your current enterprise collaboration platform seem like a black hole where information goes to die? Or worse, you can’t seem to find anything and wonder if YOU are the dunce who can’t figure out how it works in order to do your job better?  A social collaboration platform that isn’t working the way people do and isn’t living up to expectations is one of the biggest handicaps in driving business growth today.  Newency was designed with the singular / unique belief that collaboration and communications technology should begin with the users in mind. Therefore, in transforming the human-technology interface, we have developed an application that offers the highest level of security on the market, guarantees your privacy and yet, allows you and your group to work together effectively on a platform that is intuitive to use, over any device of your choice. Put simply, Newency will revolutionise the way people and businesses spread and absorb information.",http://www.newency.com,"Cloud Computing, Collaboration, Consulting, Cyber Security, Enterprise Software, Mobile, SaaS, Social Media, Web Development","San Diego, California, United States",Enterprise Social Collaboration Does your current enterprise collaboration platform seem like a black hole where information goes.,"1,968,311",,,,,,,,,,,,
Front,https://www.crunchbase.com/organization/front-app,2013-10-01,day,251-500,"Front is a communication hub for building strong customer relationships on digital channels. For many businesses, almost every customer conversation can make or break the relationship — the stakes are that high. Front puts these conversations at the center of a team’s attention and surrounds them with collaboration capabilities and contextual data from multiple systems. This lets teams stay focused on delivering timely, accurate, and deeply personalized communications. More than 7,500 businesses, including Shopify, Airbnb, Hulu, Lyft, and Mailchimp, use Front to build better customer relationships, one conversation at a time. To learn more, visit front.com.",https://front.com,"Collaboration, CRM, Customer Service, Unified Communications","San Francisco, California, United States",Front is a communication hub for building strong customer relationships on digital channels.,"13,423","315,133","380,915.67",-4.81%,-14.55%,658,1.32,-2.6%,82.93%,2.08%,"251,312","17,189",7.34%
