Organization Name,Organization Name URL,Full Description,Industries,Website,Headquarters Location,Description,CB Rank (Company),SEMrush - Monthly Visits,SEMrush - Average Visits (6 months),SEMrush - Monthly Visits Growth,SEMrush - Visit Duration Growth,SEMrush - Visit Duration,SEMrush - Page Views / Visit,SEMrush - Page Views / Visit Growth,SEMrush - Bounce Rate,SEMrush - Bounce Rate Growth,SEMrush - Global Traffic Rank,SEMrush - Monthly Rank Change (#),SEMrush - Monthly Rank Growth,Headquarters Regions,Operating Status,Founded Date,Founded Date Precision,Number of Founders,Number of Employees,Founders,Apptopia - Number of Apps,Apptopia - Downloads Last 30 Days,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD)
AMD,https://www.crunchbase.com/organization/amd,"Advanced Micro Devices (AMD) is a semiconductor company that designs and develops graphics, processors, and media solutions for both commercial and consumer markets. The company’s products portfolio includes desktop graphics, laptop graphics, professional graphics, desktop processors, laptop and tablet processors, server processors, embedded processors, chipsets, and solid state drives (SSD). Its solutions portfolio includes APU-based systems for tablets, laptops, and desktops; cloud, virtualization, and HPC server solutions; professional graphics solutions; embedded solutions; software solutions; and pro solutions. AMD focuses on innovations related to gaming technologies, surround computing, Pro graphics technologies, enhanced media, business technologies, server technologies, embedded technologies, security technologies, and mobility technologies. AMD Opteron, SeaMicro Freedom, AMD Athlon, AMD Sempron, AMD Turion, AMD Phenom, AMD FX APU, AMD Geode, AMD R-Series, G-Series, AMD Radeon, and AMD FirePro are some of the brands offered by AMD. The company provides x86 microprocessors for desktop PCs under the AMD A-Series, AMD E-Series, AMD FX CPU, AMD Athlon CPU and APU, and AMD Sempron APU and CPU brands. AMD was founded in 1969 by Jerry Sanders and is based in California, United States with presence in Canada, France, Spain, the United Kingdom, China, and more.","Cloud Computing, Embedded Systems, GPU, Hardware, Semiconductor",http://www.amd.com,"Santa Clara, California, United States","Advanced Micro Devices (AMD) is a semiconductor company that designs and develops graphics units, processors, and media solutions.","10,374","25,808,568","21,791,536.83",16.32%,13.69%,490,2.18,15.22%,61.64%,-6.17%,"6,262","-1,406",-18.34%,"San Francisco Bay Area, Silicon Valley, West Coast",Closed,1969-05-01,day,1,10001+,Jerry Sanders,1,,737680272,USD,737680272
1&1 IONOS,https://www.crunchbase.com/organization/1-1-ionos,"1&1 IONOS provides web hosting solutions for private users, as well as high-end products for small-and medium-sized businesses. 1&1 IONOS is the web hosting and cloud partner for small and medium-sized businesses. They are experts in IaaS and offer a portfolio of solutions for the digital space. As the largest hosting company in Europe, they manage more than 8 million customer contracts and host over 12 million domains in their own regional data centers in the US and Europe.  They help entrepreneurs taking their first steps online, business owners scaling up, large companies, and the partners who help them succeed. Whether building an online presence by securing a domain, building a website, moving back-office processes to the cloud, or orchestrating a container cluster, their comprehensive product range offers a best-in-class app, server, or service. Their data center network delivers optimal performance and georedundancy.","Cloud Computing, E-Commerce, Information Technology, Internet, SEO, Software, Web Hosting",https://www.ionos.com,"Chester, Pennsylvania, United States","1&1 IONOS provides web hosting solutions for private users, as well as high-end products for small-and medium-sized businesses.","123,867","9,844,097","9,055,457.33",24.46%,30.09%,977,4.76,3.64%,42.76%,-5.17%,"17,244","-3,645",-17.45%,"Greater Philadelphia Area, Great Lakes, Northeastern US",Active,1988-01-01,year,1,1001-5000,Ralph Dommermuth,,,,,
United States Navy,https://www.crunchbase.com/organization/us-navy,"The U.S. Navy was founded on 13 October 1775, and the Department of the Navy was established on 30 April 1798. The Department of the Navy has three principal components: The Navy Department, consisting of executive offices mostly in Washington, D.C.; the operating forces, including the Marine Corps, the reserve components, and, in time of war, the U.S. Coast Guard (in peace, a component of the Department of Homeland Security); and the shore establishment.  We are professional Sailors and Civilians - a diverse and agile force exemplifying the highest standards of service to our Nation, at home and abroad, at sea and ashore. Integrity is the foundation of our conduct; respect for others is fundamental to our character; decisive leadership is crucial to our success. We are a team, disciplined and well-prepared, committed to mission accomplishment. We do not waver in our dedication and accountability to our shipmates and families. We are patriots, forged by the Navy's core values of Honor, Courage and Commitment. In times of war and peace, our actions reflect our proud heritage and tradition. We defend our Nation and prevail in the face of adversity with strength, determination, and dignity. We are the United States Navy.","Big Data, Cloud Computing, Cyber Security, Health Diagnostics, Law Enforcement, Legal, Market Research, Medical, National Security, Politics, Public Safety, Search Engine",http://www.navy.mil/,"Arlington, Virginia, United States","We are the United States Navy, our Nation's sea power - ready guardians of peace, victorious in war.","186,147","5,843,776","5,423,852.83",19.41%,2.12%,674,2.93,-18.27%,62.28%,9.24%,"27,033","-1,363",-4.8%,"Washington DC Metro Area, East Coast, Southern US",Active,1775-10-13,day,3,1001-5000,"Heidi Buck, John Barry, John Paul Jones",3,,,,
Hurricane Electric,https://www.crunchbase.com/organization/hurricane-electric,"Hurricane Electric operates its own global IPv4 and IPv6 network and is considered the largest IPv6 backbone in the world as measured by number of networks connected. Within its global network, Hurricane Electric is connected to 80 major exchange points and exchanges traffic directly with more than 3,400 different networks. Employing a resilient fiber-optic topology, Hurricane Electric has no less than four redundant paths crossing North America, two separate paths between the U.S. and Europe, and rings in Europe and Asia. In addition to its vast global network, Hurricane Electric owns and operates two data centers in Fremont, California - including Hurricane Electric Fremont 2, its newest 200,000 square-foot facility. Hurricane Electric offers IPv4 and IPv6 transit solutions over the same connection. Connection speeds available include 100GE (100 gigabits/second), 10GE, and gigabit ethernet.","Cloud Computing, Data Center, Web Hosting",http://he.net/,"Fremont, California, United States",Hurricane Electric is a Internet Backbone and Colocation Provider,"153,399","4,413,737","1,849,756.67",82.05%,12.56%,484,4.82,14.75%,22.73%,-15.88%,"34,044","-16,087",-32.09%,"San Francisco Bay Area, Silicon Valley, West Coast",Active,1994-01-01,year,1,51-100,Mike Leber,3,11,2581083,USD,2581083
Informatica,https://www.crunchbase.com/organization/informatica,"Informatica LLC provides business solutions for the Cloud, big data, real-time, and streaming. More than 7,000 organizations around the world turn to Informatica for data solutions that power their businesses. Digital transformation changes expectations: better service, faster delivery, with less cost. They are entering Data 3.0, where data powers digital transformation, and they’re prepared to help clients lead—in any sector, category or niche.  Informatica provides foresight to become more agile, realize new growth opportunities, and create new inventions.","Analytics, Big Data, Cloud Computing, Cloud Data Services, Cyber Security, Data Integration",https://www.informatica.com,"Redwood City, California, United States",Informatica is an enterprise cloud data management that accelerates data-driven digital transformation.,"61,518","3,059,046","2,806,969.17",13.12%,-28.08%,612,2.27,-10.28%,63.47%,19.17%,"46,606","-3,530",-7.04%,"San Francisco Bay Area, Silicon Valley, West Coast",Active,1993-02-01,day,2,1001-5000,"Arnold Silverman, Diaz Nesamoney",3,,,,
BMC Software,https://www.crunchbase.com/organization/bmc-software,"Business Runs on IT. IT Runs on BMC Software. Business runs better when IT runs at its best. That's why more than 20,000 IT organizations — from the Global 100 to the smallest businesses — in over 120 countries rely on BMC Software (NASDAQ: BMC) to manage their business services and applications across distributed, mainframe, virtual and cloud environments. With the leading Business Service Management platform, Cloud Management, and the industry's broadest choice of IT management solutions, BMC helps customers cut costs, reduce risk and achieve business objectives.","Cloud Computing, Information Services, Information Technology, Software",http://www.bmc.com,"Houston, Texas, United States",BMC Software is a business service management platform offering cloud and IT management solutions for businesses.,"3,477","2,744,513","3,107,905.33",-58.32%,-42.05%,"1,283",1.83,5.19%,71.68%,4.08%,"49,976","27,841",125.78%,"Greater Houston Area, Southern US",Active,1980-09-19,day,1,5001-10000,John Jay Moores,28,25,216539566,USD,216539566
WinZip,https://www.crunchbase.com/organization/winzip,"WinZip is software that enables users to send, manage, and share large files through a compression and encryption system. Its offerings include apps for Windows, Mac, iOS and Android, the ZipSend and ZipShare online services, and WinZip System Utilities Suite. Users can zip and unzip files instantly; manage local and cloud files in a modern interface; protect files with banking-level AES encryption; zip and send large files by email; and share to cloud, social media, and instant messaging. WinZip was launched in 1991 and operated from Mansfield Center, Connecticut with offices in Canada, Spain, the U.K., and Silicon Valley.","Cloud Computing, Email, Mobile, Social Media, Software",http://winzip.com/win/en/index.htm,"Mansfield Center, Connecticut, United States","WinZip is software that enables users to send, manage, and share large files through a compression and encryption system.","216,861","2,692,570","2,725,987.33",27.71%,0%,265,1.98,4.35%,56%,-4.37%,"51,549","-9,213",-15.16%,"East Coast, New England, Northeastern US",Active,1991-01-01,year,1,501-1000,Phillip Walter Katz,,,,,
PrismHR,https://www.crunchbase.com/organization/prismhr,"PrismHR creates exceptional software and services, empowering human resource outsourcing service providers such as Professional Employer Organizations (PEOs) and Administrative Service Organizations (ASOs) to deliver world-class payroll, benefits and HR to small and medium sized businesses. PrismHR software is used by more than 88,000 organizations and 2.2 million worksite employees, processing greater than $80 billion in payroll each year. For more information, visit www.prismhr.com.","Cloud Computing, Human Resources, SaaS, Software",http://www.prismhr.com/,"Hopkinton, Massachusetts, United States",PrismHR is the largest payroll and HR software platform for professional employer organizations and administrative service organizations.,"71,769","2,261,398","1,876,431.33",9.23%,9.54%,528,3.82,-2.51%,26.21%,-6.16%,"59,175","-2,468",-4%,"Greater Boston Area, East Coast, New England",Active,1985-01-01,year,1,501-1000,Frederick Davison,,,806853,USD,806853
NetApp,https://www.crunchbase.com/organization/netapp,"NetApp creates storage and data management solutions that are designed to help customers accelerate business breakthroughs and achieve outstanding cost efficiency. Their mission has always been to help their customers achieve what matters most to them. In 1993, they shipped their first data storage system to Patrick Mulrooney, who at that time was a system administrator at Tandem Computers. The network appliance was designed to clean up his infrastructure sprawl. He loved its simplicity. “Patrick’s favorite attribute was that their system rebooted in 30 seconds instead of hours like their competitors,” says NetApp co-founder, Dave Hitz. “While solving his downtime problem, they also gave Patrick a competitive edge.” More than 20 years later, their story is still about delivering innovation that gives their customers an edge over their competitors. From the edge of the universe with CERN’s Large Hadron Collider, to the edge of human endurance in Formula One auto racing, they help you do things you couldn’t before—at speeds you never thought possible. Throughout the world, leading organizations count on NetApp for software, systems, and services to manage and store their data. They help enterprises and service providers envision, deploy, and evolve their IT environments. Customers also benefit from their open collaboration with other technology leaders to create the specific solutions they need.  their team is passionate about customer success. Their company culture and work environment support that dedication. Together with their global network of partners, they are united in one goal: to help their customers achieve the outcomes that matter most to them. They view their culture as a competitive advantage and a foundation for continued success. They proudly hire the world’s most talented and committed employees, who work hard to help their customers, partners, shareholders, and communities thrive. Their commitment to their values results in an award-winning culture of collaboration and trust. The Great Place to Work Institute recently named NetApp #4 on its ""World's Best Multinational Workplaces 2015"" - the world's first annual study of multinational workplace excellence. They have repeatedly earned a spot on FORTUNE magazine's list of the ""100 Best Companies to Work For"" in the United States, as well as top spots on ""Great Place to Work"" lists in locations around the world. Their operational philosophy and culture are defined by their commitment to delivering the best possible results for the communities they serve. At NetApp, they take pride in living a set of shared core values: trust and integrity, leadership, simplicity, adaptability, teamwork and synergy, go beyond, get things done. Since their beginning in 1992, they have been delivering technology and product firsts with one goal in mind: the success of their customers. They continually push the boundaries of what’s possible to provide efficient and flexible IT, so their customers’ budgets can go further and business can go faster. They have repeatedly set the industry standard with game-changing innovations that have the power to transform business.","Cloud Computing, Data Storage, Information Technology",http://netapp.com,"Sunnyvale, California, United States",NetApp is a hybrid cloud data services company .,"35,265","2,031,592","2,872,970.5",-6.14%,-16.7%,778,3.27,-0.06%,53.77%,-5.18%,"62,466","7,492",13.63%,"San Francisco Bay Area, Silicon Valley, West Coast",Active,1992-01-01,year,4,10001+,"Dave Hitz, James Lau, Michael Malcolm, Michiaki Kono",31,2,434009575,USD,434009575
ViewSonic,https://www.crunchbase.com/organization/viewsonic,"ViewSonic offers computing, consumer electronics, visual display, and communications solutions. The company offers LED monitors, including smart and multi-touch displays; and entertainment, professional, graphics, and value monitors. It also offers projectors; desktop virtualization products; digital signage products, including commercial displays and large-format displays; e-posters, detachable PC modules, network media players, and accessories; pen displays; interactive displays; and more.  The company offers its products for educational, medical, and government institutions, as well as luxury hotels, casino chains, cruise ships, and other market segments. It offers its products through a network of distributors and resellers worldwide, as well as online.  ViewSonic was founded in 1987 and is based Brea, California.","Cloud Computing, Commercial, Consumer Electronics",http://www.viewsonic.com/,"Brea, California, United States","ViewSonic offers computing, consumer electronics, visual display, and communications solutions.","88,512","1,412,603","1,534,884.5",-5.56%,-1.36%,435,1.75,-7.91%,74.4%,1.24%,"82,237","9,023",12.32%,"Greater Los Angeles Area, West Coast, Western US",Active,1987-01-01,year,1,501-1000,Craig Scott,14,"11,800",13971950,USD,13971950
