Organization Name,Organization Name URL,Full Description,Industries,Website,Headquarters Location,Description,CB Rank (Company),SEMrush - Monthly Visits,SEMrush - Average Visits (6 months),SEMrush - Monthly Visits Growth,SEMrush - Visit Duration Growth,SEMrush - Visit Duration,SEMrush - Page Views / Visit,SEMrush - Page Views / Visit Growth,SEMrush - Bounce Rate,SEMrush - Bounce Rate Growth,SEMrush - Global Traffic Rank,SEMrush - Monthly Rank Change (#),SEMrush - Monthly Rank Growth,Headquarters Regions,Operating Status,Founded Date,Founded Date Precision,Number of Founders,Number of Employees,Founders,Apptopia - Number of Apps,Apptopia - Downloads Last 30 Days,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD)
Box,https://www.crunchbase.com/organization/box,"Box is an online file sharing and cloud content management service offering unlimited storage, custom branding, and administrative controls. Box provides more than 8 million users with secure cloud content management and collaboration. Box platform ""allows personal and commercial content to be accessible, sharable, and storable in any format from anywhere."" It also helps businesses of all sizes in every industry securely access and manages their critical information in the cloud.","Cloud Computing, Enterprise Software, File Sharing, Flash Storage, Web Hosting",http://www.box.com,"Redwood City, California, United States","Box is an online file sharing and cloud content management service offering unlimited storage, custom branding, and administrative controls.",203,"36,397,348","31,602,162",8.71%,0.11%,882,2.79,-4.13%,51.42%,3.9%,"4,314",-546,-11.23%,"San Francisco Bay Area, Silicon Valley, West Coast",Active,2005-01-01,year,5,1001-5000,"Aaron Levie, Dylan Smith, Jeff Queisser, Karen (Appleton ) Page, Sam Ghods",12,"175,500",111037756,USD,111037756
RingCentral,https://www.crunchbase.com/organization/ringcentral,"RingCentral's cloud-based communication and collaboration platform offers a comprehensive set of capabilities that unify voice, business messaging, team collaboration, video conferencing, and online meetings. RingCentral revolutionizes the power of the cloud to help companies across the globe work smarter, radically improving the way businesses partner with customers and co-workers. We offer nimble business communication solutions, used in more than 350,000 organizations worldwide, that rapidly scale as enterprises grow. It’s a capable platform that offers more than VoIP phone service or cloud PBX. We deliver complete unified communications as a service (UCaaS)—the kind of solutions that integrate seamlessly within your current application and framework, without expensive on-premise hardware or hassles. Bridging the divide across multiple devices—including smartphones, tablets, computers, and desk phones—RingCentral solutions provide today’s mobile workforce with the flexible communication tools needed to get the job done right.  RingCentral helps small businesses manage mobile, fax and e-mail communications. Its core product offering includes RingCentral Office, RingCentral Professional and RingCentral Internet Fax, with services provided in the US, Canada and the UK. RingCentral, headquartered in Belmont, CA, is funded by [Sequoia Capital](/financial-organization/sequoia-capital), [Khosla Ventures](/financial-organization/khosla-ventures) and [DAG](/financial-organization/dag-ventures) and was founded in 2003 by [Vlad Shmunis](/person/vlad-shmunis). Products RingCentral Office is a comprehensive Voice over Internet Protocol phone service for small businesses and enterprise companies. This allows customers to connect teams in different locations. RingCentral Office combines a hosted multi-extension business phone system with voice and fax functionality, unlimited calling and pre-configured phones. This allows businesses to connect teams in different locations. RingCentral Glip provides a single, unified team workspace that empowers customers to work, communicate, and collaborate faster and more effectively than ever before. Emails, scattered discussions, and disjointed resources are drastically reduced as teams share conversations, files, tasks, and calendars. Teams, whether internal or external, can collaborate using their favorite devices anytime, anyplace—all within the Glip team workspace. RingCentral Contact Center is an omnichannel, hosted contact center solution that’s easy to deploy, integrate, and scale. This cloud-based contact center solution connects your business to your customers like never before. Your agents get the data and features needed to deliver professional, effective service, while your customers enjoy better communication and faster response times. RingCentral Professional provides customers with a single local or toll free number that connects their existing phone lines as virtual extensions. It is equipped with advanced call forwarding and answering rules. Users can also receive calls, transmit faxes and listen to voicemail online through their RingCentral account. RingCentral Fax is an internet fax product that gives users the ability to send and receive faxes through the Internet, replacing the fax machine. Aside from the ability to transmit documents online, users can also sign and edit their faxes digitally, eliminating the need to print and scan faxes. Users also receive a text and an email message every time a new fax arrives","Cloud Computing, Collaboration, Enterprise Software, Meeting Software, SaaS, VoIP",https://www.ringcentral.com,"Belmont, California, United States",RingCentral is a provider of enterprise cloud communications and collaboration solutions.,"52,116","8,592,652","7,845,948.17",10.71%,-1.34%,809,2.9,-9.65%,49.33%,8.37%,"19,399",186,0.97%,"San Francisco Bay Area, Silicon Valley, West Coast",Active,2003-01-01,year,3,5001-10000,"Mukul Sheopory, Vlad Shmunis, Vlad Vendrow",16,"102,556",177548550,USD,177548550
Demandware,https://www.crunchbase.com/organization/demandware,"Demandware solutions, comprised of the only enterprise-class, on-demand ecommerce platform and expert services, deliver merchandising effectiveness, proven site reliability and industry best practices that exceed profitability goals. Only Demandware provides a distinct time-to-market advantage for launching multiple ecommerce sites, customizing the consumer experience from content to code, and maintaining sites at the forefront of ecommerce innovation.","Cloud Computing, E-Commerce, Enterprise Software",http://www.demandware.com/,"Burlington, Massachusetts, United States",Demandware provides enterprise cloud commerce solutions that empower world’s leading retailers to continuously innovate.,"27,621","6,504,489","4,847,737.33",215.41%,-17.98%,260,1.82,5.6%,49.69%,1.33%,"24,658","-32,466",-56.83%,"Greater Boston Area, East Coast, New England",Active,2004-01-01,year,1,5001-10000,Stephan Schambach,,,,,
Phoenix NAP,https://www.crunchbase.com/organization/phoenix-nap,"From colocation to cloud, Phoenix NAP has the IT solutions and framework to help support your growth for years to come. Scalable, secure, and reliable, the infrastructure-as-a-service (IaaS) offerings of our premier Phoenix data center keep you ahead of the technology curve. Phoenix NAP Secured Cloud uses an intuitive graphical user interface to enable the rapid creation of public cloud virtual machines (VMs). Our solution is simple enough that any business user can set up VMs in a just a few minutes, versatile enough to handle a wide-range of computing tasks, dynamic enough to match ever-changing data demands, and featured enough that tech-savvy individuals can tailor and customize as needed.","Cloud Computing, Web Hosting",http://phoenixnap.com,"Tempe, Arizona, United States",Colocation Provider Cloud Hosting,"152,223","5,492,655","6,608,296",-26.78%,17.52%,597,1.1,-2.14%,93.16%,2.7%,"28,522","8,754",44.28%,"Greater Phoenix Area, Western US",Active,2003-01-01,year,2,101-250,"Ian McClarty, Ron Cadwell",,,1352526,USD,1352526
amoCRM,https://www.crunchbase.com/organization/amocrm,"It’s a perfect messenger-based sales solution for entrepreneurs, small and medium businesses.  Lead generation is simple with ready to use web forms and integrations. Chatting, calling and emailing is possible straight from the CRM. All events are stored in the lead card, including call recordings, tasks and chat messages. No data is lost or forgotten.  With workflow automation, no time is wasted on repetitive tasks. Leads, tasks, email campaigns and much more can be managed without lifting a finger. In-depth analytics provide a full overview of the sales process. Mobile app available both on iOS and Android makes it possible to manage the CRM on the go. The setup process is seamless. Connecting the mail address and importing the customer database takes mere moments. Integration is possible with a myriad of different services, free of charge. amoCRM clients are offered free onboarding and setup assistance, as well as multichannel support during business hours.  Register for your free 14 days account with no obligations.","Cloud Computing, CRM, Lead Management, Messaging, SaaS, Sales, Sales Automation, Small and Medium Businesses, Software",http://www.amocrm.com,"San Francisco, California, United States",amoCRM offers messenger-based sales solution for entrepreneurs and small and medium businesses.,"118,353","4,132,113","1,382,090.67",624.21%,73.4%,"2,360",2.05,-43.72%,59%,14.94%,"36,351","-114,092",-75.84%,"San Francisco Bay Area, West Coast, Western US",Active,2004-01-01,year,1,101-250,Mike Tokovinin,5,"9,424",40544,USD,40544
Linode,https://www.crunchbase.com/organization/linode,"Linode accelerates innovation by making cloud computing simple, accessible, and affordable to all. Founded in 2003, Linode helped pioneer the cloud computing industry and is today the largest independent open cloud provider in the world. Headquartered in Philadelphia's Old City, the company empowers more than a million developers, startups, and businesses across its global network of data centers. Linode is a cloud hosting company offering customers access to Linux virtual servers on high-speed internet connections.","Cloud Computing, Cloud Infrastructure, IaaS, Information Technology, Web Hosting",http://www.linode.com,"Philadelphia, Pennsylvania, United States",Linode is a cloud hosting company offering customers access to Linux virtual servers on high speed internet connections.,"86,209","3,185,937","2,731,212.17",34.29%,-19.26%,499,2.38,-2.69%,54.29%,-1.7%,"45,094","-10,377",-18.71%,"Greater Philadelphia Area, Great Lakes, Northeastern US",Active,2003-06-16,day,1,101-250,Christopher S. Aker,,,603287,USD,603287
Kareo,https://www.crunchbase.com/organization/kareo,"Kareo is the leading cloud-based, clinical and business management platform designed specifically for the independent practice. Kareo’s integrated modules work together as part of a seamless platform, so independent practices have helpful tools to tackle their toughest administrative challenges. These tools include electronic health records, practice management, billing, marketing and patient engagement software. Plus, proven, integrated third-party applications and services in Kareo Marketplace to make delivering care even easier.  Today we help over 50,000 providers in all 50 states run more efficient and profitable practices, while delivering outstanding patient care. Kareo has received extensive industry recognition, including being awarded the 2018 United States Ambulatory EHR Enabling Technology Leadership Award from Frost and Sullivan, Deloitte Technology Fast 500, Inc. 5000 and Black Book’s #1 Integrated EHR, Practice Management and Medical Billing Vendor. With offices across the country, our mission is to help independent practices succeed in an ever-changing healthcare market.","Cloud Computing, Electronic Health Record (EHR), Health Care, Medical, Software",http://www.kareo.com,"Irvine, California, United States",Kareo delivers cloud-based software that helps independent practices run a successful business and provide better patient care.,"37,212","1,774,651","1,259,995.17",72.09%,63.32%,"1,857",10.28,69.71%,49.27%,-14.37%,"69,276","-27,884",-28.7%,"Greater Los Angeles Area, West Coast, Western US",Active,2004-02-01,day,1,501-1000,Dan Rodrigues,,,1081462,USD,1081462
InstaMed,https://www.crunchbase.com/organization/instamed,"InstaMed provides healthcare payment experience on one platform that connects consumers, providers, and payers for every healthcare payment transaction. InstaMed’s patented, private cloud-based technology securely transforms healthcare payments by driving electronic transactions, moving money, and healthcare data seamlessly, and improving consumer satisfaction.","Banking, Cloud Computing, Finance, FinTech, Health Care",http://www.instamed.com,"Philadelphia, Pennsylvania, United States",InstaMed simplifies healthcare payments for providers.,"15,057","1,399,308","1,575,280.17",-6.14%,21.92%,584,2.36,-3.25%,46.08%,5.01%,"82,790","9,369",12.76%,"Greater Philadelphia Area, Great Lakes, Northeastern US",Active,2004-01-01,year,2,251-500,"Bill Marvin, Chris Seib",,,,,
PBworks,https://www.crunchbase.com/organization/pbworks,"PBworks is a real-time creative collaborative editing software that enables businesses to interact with their clients in a timely, participative atmosphere. Users can create free basic wiki workspaces or upgrade to a premium plan to access additional features such as enhanced security features, customization through CSS, and more storage space. Workspaces can be either public or private. The software service is only available in English. A number of businesses and corporations use PBworks to create private wikis for employees; one case study described a legal firm which had transitioned to PBworks as a document management system in order to cut their IT costs. Clients also use PBworks as a host for internal documents, including CafePress.com, Capgemini, Deloitte, the Financial Times, Kiva, and Wideload Games while educational groups who are known to use PBworks include DePaul University, the National Opinion Research Center at the University of Chicago, the University of Toronto, the University of Wisconsin–Madison, and Wayne State University. PBworks was founded by David Weekly, Ramit Sethi, and Nathan Schmidt in 2005 and is headquartered in San Mateo, California.","Cloud Computing, Collaboration, Developer Tools, Document Management, Enterprise Software, SaaS, Social Media, Software",http://www.pbworks.com,"San Mateo, California, United States",PBworks is a real-time collaborative editing software that enables businesses to interact with clients in a timely participative atmosphere.,"46,961","1,356,940","1,348,803.67",17%,-45.01%,529,2.68,-5.25%,53.8%,-9.6%,"87,382","-7,805",-8.2%,"San Francisco Bay Area, Silicon Valley, West Coast",Active,2005-01-01,year,2,11-50,"David E. Weekly, Ramit Sethi",,,145054,USD,145054
PlanbookEdu,https://www.crunchbase.com/organization/planbookedu,,"Cloud Computing, Education, GreenTech, Internet",https://www.planbookedu.com/,"Chapel Hill, North Carolina, United States",Planbookedu is an online lesson planner for teachers.,"768,864","1,276,384","976,801.33",587.95%,32.25%,"1,460",10.41,5.87%,18.66%,-31.17%,"91,512","-257,082",-73.75%,"Research Triangle, East Coast, Southern US",Active,2005-01-01,year,,1-10,,,,71371,USD,71371
