Organization Name,Organization Name URL,Full Description,Industries,Website,Headquarters Location,Description,CB Rank (Company),SEMrush - Monthly Visits,SEMrush - Average Visits (6 months),SEMrush - Monthly Visits Growth,SEMrush - Visit Duration Growth,SEMrush - Visit Duration,SEMrush - Page Views / Visit,SEMrush - Page Views / Visit Growth,SEMrush - Bounce Rate,SEMrush - Bounce Rate Growth,SEMrush - Global Traffic Rank,SEMrush - Monthly Rank Change (#),SEMrush - Monthly Rank Growth,Headquarters Regions,Operating Status,Founded Date,Founded Date Precision,Number of Founders,Number of Employees,Founders,Apptopia - Number of Apps,Apptopia - Downloads Last 30 Days,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD)
Ex Libris,https://www.crunchbase.com/organization/ex-libris,"Ex Libris Group is a leading provider of library automation solutions, offering the only comprehensive product suite for the discovery, management, and distribution of all materialsâprint, electronic, and digital. Dedicated to developing the market's most inventive and creative solutions, Ex Libris leads the way in defining and designing efficient, user-friendly products that serve the needs of academic, research, and national libraries today, enabling them to transition into the future.","Apps, Cloud Computing, Enterprise Software, Information Technology, Software, Web Design",http://www.exlibrisgroup.com,"Ballerup, Hovedstaden, Denmark","Ex Libris Group is a leading provider of library automation solutions, offering the only comprehensive product suite for the discovery,","165,720","13,961,244","14,073,988.5",54.13%,-40.67%,"1,278",2.44,-6.68%,53.17%,-8.56%,"12,435","-4,343",-25.89%,"European Union (EU), Nordic Countries, Scandinavia",Active,1986-01-01,year,2,501-1000,"Azriel Morag, Evgeniy Larionov",19,"3,443",,,
Exact,https://www.crunchbase.com/organization/exact,"Exact is a global supplier of cloud business software. Since the beginning in 1984, its focus has developed from supporting financial processes to developing a complete ERP offering for small and medium enterprises. It provides innovative solutions like Exact Globe, Exact Synergy, and Exact Online support over 400,000+ customers – local and international companies – with the daily management of their business. Exact develops industry-specific on-premise and SaaS solutions for manufacturing, wholesale & distribution, professional services, small business, and accountancy. Exact was founded in 1984 and is headquartered in Delft, the Netherlands.","Accounting, Cloud Computing, CRM, Enterprise Resource Planning (ERP), Enterprise Software, Finance, SaaS, Software",http://www.exact.com,"Delft, Zuid-Holland, The Netherlands",Exact is a company that provides cloud based business software for entrepreneurs and their accountants.,"229,780","622,387","672,910.5",71.27%,-14.53%,447,2.52,-18.63%,41.98%,-9.99%,"155,471","-63,803",-29.1%,European Union (EU),Active,1984-07-23,day,3,1001-5000,"Arco Van Nieuwland, Eduard Hagens, Irfan Verdia",32,"11,294",,,
Xperience,https://www.crunchbase.com/organization/xperience-b97c,"Xperience provides software solutions within ERP, CRM, managed IT and cloud service that helps the digital transformation of the business.","Cloud Computing, Consulting, CRM, Enterprise Resource Planning (ERP), Software",https://www.xperience-group.com/,"Antrim, Antrim, United Kingdom","Xperience provides software solutions within ERP, CRM, managed IT and cloud service that helps the digital transformation of the business.","187,002","402,949","198,967.83",897.05%,80.24%,"7,060",15.51,111.56%,12.66%,-67.72%,"203,920","-702,770",-77.51%,,Active,1969-01-01,year,,101-250,,,,6256711,USD,6256711
Sage,https://www.crunchbase.com/organization/sage-c1e4,"Sage DPW-Software is now implementing over 1000 kunden, which is the most widely used multinational untenermen, in branchen versions. Sage GmbH is with the Sage DPW-Product the latest personal management software.","Cloud Computing, Computer, Private Cloud, Security, Software",https://www.sagedpw.at/,"Vienna, Wien, Austria",Sage provides software for HR services.,"362,734","319,471","219,712.33",164.66%,-32.23%,82,3.52,10.78%,50.03%,-4.9%,"249,001","-217,670",-46.64%,European Union (EU),Active,1972-01-01,year,,101-250,,,,,,
Novahé,https://www.crunchbase.com/organization/novahé,,"Cloud Computing, Information Technology, IT Infrastructure",https://www.novahe.fr/,"Orléans, Centre, France","Novahé is an information technology company specialized in IT infrastructure, computer data security and cloud computing services.","930,723","288,214",,24.61%,65.53%,"1,705",25.43,179.25%,5.66%,-65.1%,"267,322","-32,645",-10.88%,European Union (EU),Active,1986-06-30,day,,51-100,,,,,,
Eurodata,https://www.crunchbase.com/organization/eurodata-911a,,"Cloud Computing, Service Industry, Software",https://eurodata.de,"Saarbrücken, Saarland, Germany",Eurodata is an IT company that provides solutions for cross company software service with cloud based solutions.,"501,885","287,354","190,185.33",12.1%,12.81%,"1,550",6.88,17.97%,14.97%,-14.6%,"267,804","-11,703",-4.19%,European Union (EU),Active,1965-01-01,year,,251-500,,7,"6,964",4047485,USD,4047485
Hatteland,https://www.crunchbase.com/organization/jakob-hatteland-computers,,"Cloud Computing, Information Technology, Software",https://www.hatteland.com/,"Stavanger, Rogaland, Norway","Hatteland offers services in cloud computing, system development, data center, helpdesk and IT consulting to overcome business issues.","402,919","211,804","60,906.67",560.55%,600.96%,729,1.25,5.21%,78.81%,-10.21%,"318,620","-729,645",-69.61%,"Nordic Countries, Scandinavia",Active,1971-01-01,day,,251-500,,,,,,
Norteam,https://www.crunchbase.com/organization/norteam,,"Cloud Computing, Information Technology, Software",https://www.norteam.se/,"Bromma, Sodermanlands Lan, Sweden","Norteam offers a wide range of IT solutions such as IT security, telephony, Microsoft Azure, cloud computing and intranet services.","967,402","180,493",,859.15%,-7.14%,"2,303",3.14,-19.54%,49.88%,66.16%,"368,114","-1,172,643",-76.11%,"European Union (EU), Nordic Countries, Scandinavia",Active,1989-01-01,year,,11-50,,,,,,
CRS4,https://www.crunchbase.com/organization/crs4,"Established in 1990, CRS4 (Center for Advanced Studies, Research and Development in Sardinia) is located within Science and Technology Park (Polaris), a point of attraction for high-tech research 40 km from Cagliari. CRS4 is an interdisciplinary research center promoting the study, development and application of innovative solutions to problems stemming from natural, social and industrial environments. Information Society and Technology and High Performance Computing are the supporting foundations. The main objective is innovation. The mission is to help Sardinia to build and support a layer of modern high tech industries considered essential to its economic and cultural development.","Business Development, Cloud Computing, Education, Information Technology",http://www.crs4.it/,"Pula, Sardegna, Italy","CRS4 is an interdisciplinary research center promoting the study, development and application of innovative solutions to problems stemming","764,573","103,411","58,347.33",-50.51%,-75.6%,152,2.02,-9.5%,28.03%,-27.19%,"536,742","215,217",66.94%,European Union (EU),Active,1990-01-01,year,,51-100,,,,,,
CWS Digital Solutions,https://www.crunchbase.com/organization/cws-digital-solutions,,"Artificial Intelligence, Cloud Computing, Service Industry",https://www.cws.it,"Turin, Piemonte, Italy","CWS Digital Solutions is a data, cloud, internet of thing and artificial intelligence and CWS support service company.","729,523","68,006","30,590.67",541.63%,55.11%,"1,486",7.6,109.9%,24.13%,-49.89%,"706,707","-1,413,061",-66.66%,European Union (EU),Active,1987-01-01,year,,101-250,,,,3821280,USD,3821280
Actuelburo,https://www.crunchbase.com/organization/actuelburo,,"Cloud Computing, Information Technology, Software, Software Engineering, Telecommunications",https://actuelburo.fr,"Orthez, Aquitaine, France","Actuelburo provides services such as IT, cloud services, telephony, office automation, software, and commercial management.","826,834","67,560","39,998.17",111.88%,-28.1%,"2,006",11.86,295.37%,41.67%,-37.5%,"709,847","-407,304",-36.46%,European Union (EU),Closed,1976-01-01,year,,101-250,,,,,,
