Organization Name,Organization Name URL,Full Description,Industries,Website,Headquarters Location,Description,CB Rank (Company),SEMrush - Monthly Visits,SEMrush - Average Visits (6 months),SEMrush - Monthly Visits Growth,SEMrush - Visit Duration Growth,SEMrush - Visit Duration,SEMrush - Page Views / Visit,SEMrush - Page Views / Visit Growth,SEMrush - Bounce Rate,SEMrush - Bounce Rate Growth,SEMrush - Global Traffic Rank,SEMrush - Monthly Rank Change (#),SEMrush - Monthly Rank Growth,Headquarters Regions,Operating Status,Founded Date,Founded Date Precision,Number of Founders,Number of Employees,Founders,Apptopia - Number of Apps,Apptopia - Downloads Last 30 Days,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD)
Skynet Labs,https://www.crunchbase.com/organization/nebulous-llc,"Skynet Labs builds uncompromising software infrastructure for the decentralized internet. It is a leader in the burgeoning blockchain and decentralized web ecosystems, and the core contributor and maintainer of the open-source Skynet project. Skynet is a revolutionary technology that will be the foundation for a free internet and builds on the team’s successful creation of Sia, the leading blockchain storage platform.","Application Specific Integrated Circuit (ASIC), Blockchain, Cloud Data Services, Cryptocurrency, Enterprise Software, Hardware, Security",https://siasky.net,"Boston, Massachusetts, United States",Skynet is an open protocol for hosting data and web applications on the decentralized web.,"79,965","23,209,442","25,338,517.5",31.68%,6.75%,664,7.26,13.17%,32.67%,-20.59%,"7,087","-2,785",-28.21%,"Greater Boston Area, East Coast, New England",Active,2014-05-29,day,3,11-50,"David Vorick, Luke Champine, Matthew Sevey",,,,,
Tock,https://www.crunchbase.com/organization/tock,"Tock is a comprehensive platform built to fundamentally change the way restaurants think about and run their business. This includes a robust reservation, guest, and table management system for restaurants of all sizes across the globe.","Cloud Data Services, Food and Beverage, Hospitality, Restaurants, Software",https://www.exploretock.com/,"Chicago, Illinois, United States",Tock is a cloud-based platform with flexible data structures that provide comprehensive restaurant and event booking services.,"38,369","9,049,126","7,734,946.83",1.53%,11.44%,565,1.52,11.44%,77.1%,-1.93%,"18,535","1,499",8.8%,"Greater Chicago Area, Great Lakes, Midwestern US",Active,2014-01-01,year,2,101-250,"Brian Fitzpatrick, Nick Kokonas",,,,,
Advocado,https://www.crunchbase.com/organization/advocado-7952,"Advocado is the first real-time cross-media optimization & audience platform that makes advertising perform better by using signals in the physical world (like TV Ads or in-program content) to trigger real-time actions across search, social and shopping platforms and building organic digital audiences based on advertiser affinity; all the while, collecting the data to prove value created.  Ultimately, we help CMO’s and marketing leaders deliver better results while breaking down organizational silos and respecting consumer privacy.","Advertising, Advertising Platforms, Analytics, Big Data, Broadcasting, Business Development, Cloud Data Services, Local Advertising, Marketing Automation, Software",https://www.myadvocado.com,"Saint Louis, Missouri, United States",Advocado is a real-time cross-media optimization & audience platform that makes advertising perform better.,"18,459","7,544,224","7,009,061.17",-3.13%,13.32%,740,1.84,6.66%,61.83%,-0.71%,"21,960",799,3.78%,Midwestern US,Active,2017-01-01,year,5,11-50,"Bob Koplar, Brian Handrigan, Jeff Linihan, RJ Jones, Sam Koplar",,,,,
Cloud4Wi,https://www.crunchbase.com/organization/witech,"Cloud4Wi is a location-based customer insights solution that enables businesses and organizations to seamlessly and safely collect, analyze and act on customer data. Using real-time behavioral insights, Cloud4Wi empowers one-to-one relationships with customers by delivering perfectly-tailored communications at the right moment.  With a 10x faster data collection rate and a +30% lift in click-through rate, location-based customer insights drive results in today’s new normal. Leading global companies rely on Cloud4Wi. They include Armani, BAC Credomatic, Burger King, Campari, Carmila, Diamonds International, Gruppo FS Italiane, Guess, Herschend Family Entertainment, Klepierre, Kudu, Lacoste, Loro Piana, MaxMara, New York Botanical Garden, Prada Group, Talent Garden, The Cordish Companies and Valentino.  To date, Cloud4Wi connects more than 150 million mobile customers across 60,000 locations in more than 120 countries, while collecting more than 20 billion of location data per month. Cloud4Wi is headquartered in New York, and has offices in San Francisco, London, Paris, Milan, Pisa, São Paulo, and Bangkok.","Cloud Data Services, Location Based Services, Marketing, Marketing Automation, Software",http://www.cloud4wi.com,"New York, New York, United States","Cloud4Wi enables businesses and organizations to seamlessly and safely collect, analyze and act on location-based customer data","25,261","4,779,792","1,363,533.83",847.6%,-37.46%,222,1.67,-52.14%,52.2%,102.25%,"32,468","-141,754",-81.36%,"Greater New York Area, East Coast, Northeastern US",Active,2014-01-01,year,2,51-100,"Andrea Calcagno, Davide Quadrini",3,0,789970,USD,789970
Kubernetes,https://www.crunchbase.com/organization/kubernetes,"Kubernetes is an open-source system for automating deployment, scaling, and management of containerized applications. It groups containers that make up an application into logical units for easy management and discovery. Kubernetes builds upon 15 years of experience of running production workloads at Google, combined with best-of-breed ideas and practices from the community.","Business Information Systems, Business Intelligence, Cloud Computing, Cloud Data Services",https://kubernetes.io/,"San Francisco, California, United States","Kubernetes is an open-source system for automating deployment, scaling, and management of containerized applications.","33,192","4,527,305","5,627,798.5",-11.6%,27.4%,823,2.13,7.78%,68.15%,-1.53%,"33,319","5,994",21.94%,"San Francisco Bay Area, West Coast, Western US",Active,2014-06-01,month,3,251-500,"Brendan Burns, Craig McLuckie, Joseph Beda",,,,,
Samsara,https://www.crunchbase.com/organization/samsara-2,"Samsara is the pioneer of the Connected Operations Cloud, which allows businesses that depend on physical operations to harness IoT (Internet of Things) data to develop actionable business insights and improve their operations.  Samsara operates in North America and Europe and serves tens of thousands of customers across a wide range of industries including transportation, wholesale and retail trade, construction, field services, logistics, utilities and energy, government, healthcare and education, manufacturing, and food and beverage.","Business Intelligence, Cloud Data Services, Internet of Things, SaaS, Software",http://www.samsara.com,"San Francisco, California, United States",Samsara helps businesses in harnessing IoT data to develop actionable business insights and improve their operations.,"11,804","3,226,973","3,817,697.33",24.05%,62.65%,"3,749",7.52,-26.6%,34.64%,-37.25%,"43,810","-3,674",-7.74%,"San Francisco Bay Area, West Coast, Western US",Active,2015-01-01,year,2,1001-5000,"John Bicket, Sanjit Biswas",,,9504874,USD,9504874
Grafana Labs,https://www.crunchbase.com/organization/raintank,"Grafana Labs supports organizations’ monitoring, visualization, and observability goals through an open and composable platform built around Grafana, the open-source software for monitoring and metric analytics and visualization. Grafana Labs’ commercial products include Grafana Enterprise, with key features and support for large organizations, and Grafana Cloud, a hosted Grafana-based stack that includes Prometheus and Graphite (for metrics) and Loki (for logs).","Analytics, Cloud Data Services, Data Visualization, Open Source, Software",http://grafana.com,"New York, New York, United States","Grafana Labs is an open source software platform built to support monitoring, visualization, and metric analytics.",759,"1,858,498","2,463,210.83",-34.57%,-30.18%,391,2.14,-5.83%,64.25%,7.69%,"66,901","22,664",51.23%,"Greater New York Area, East Coast, Northeastern US",Active,2014-01-01,year,3,251-500,"Anthony Woods, Raj Dutt, Torkel Ödegaard",,,116278,USD,116278
Confluent,https://www.crunchbase.com/organization/confluent,"Confluent offers a streaming platform based on Apache Kafka that enables companies to easily access data as real-time streams. The company's platform offers an open-source technology that acts as a real-time, fault-tolerant and highly scalable messaging system, enabling companies to move data from isolated systems into a real-time data pipeline where they can act on it immediately.","Analytics, Cloud Data Services, Enterprise Software, Open Source",https://confluent.io/,"Mountain View, California, United States",Confluent offers a streaming platform based on Apache Kafka that enables companies to easily access data as real-time streams.,"5,486","1,578,614","1,774,014.17",24.82%,-22.22%,"1,813",2.75,-20.26%,65.62%,4.59%,"77,963","-11,440",-12.8%,"San Francisco Bay Area, Silicon Valley, West Coast",Active,2014-09-23,day,2,1001-5000,"Jay Kreps, Neha Narkhede",,,34081476,USD,34081476
VPSie,https://www.crunchbase.com/organization/vpsie,"VPSie is a powerful, resilient cloud hosting ecosystem, supporting Linux common flavors, Windows server platforms as well as pre-made one-click apps. The industry serves a diverse and global customer base including; entrepreneurs, students, start-ups, and established businesses and developer types all over the world.","Cloud Data Services, Cloud Storage, Internet",https://www.vpsie.com,"Staten Island, New York, United States",VPSie is the automation hosting provider that delivers cloud hosting.,"213,735","1,493,450","1,391,489.5",118.88%,2.35%,"3,617",6.18,1.66%,38.86%,-15.17%,"81,240","-59,095",-42.11%,"Greater New York Area, East Coast, Northeastern US",Active,2014-01-01,year,,1-10,,,,,,
STACKPATH,https://www.crunchbase.com/organization/stackpath,"StackPath is a cloud platform built at the internet’s edge, providing infrastructure and services physically closer to the source or destination of data than hyperscale cloud service providers. StackPath Edge Compute (including virtual machines and containers), Edge Delivery (including CDN and serverless scripting), and Edge Security (including WAF) solutions run in edge locations strategically deployed in high-density markets and united by a secure global network and a single management system. Customers ranging from Fortune 50 enterprises to one-person startups trust StackPath to give their latency-sensitive workloads and real-time applications the speed, security, and efficiency they require. StackPath was founded in 2015, is headquartered in Dallas, and operates around the world.","Cloud Computing, Cloud Data Services, Cloud Infrastructure, Cloud Management, Cloud Security, Cloud Storage, Internet, Private Cloud",https://www.stackpath.com/,"Dallas, Texas, United States","Edge computing, edge delivery, & edge security solutions, enabling businesses to build, accelerate, & protect latency-sensitive workloads.","22,543","1,245,319","637,086.5",307.58%,69.28%,"1,102",5.13,39.52%,17.64%,-42.43%,"93,475","-156,613",-62.62%,"Dallas/Fort Worth Metroplex, Southern US",Active,2015-01-01,year,4,251-500,"James Leaverton, Jason Gulledge, Lance Crosby, Ryan Carter",,,3056185,USD,3056185
