Organization Name,Organization Name URL,Full Description,Industries,Website,Headquarters Location,Description,CB Rank (Company),SEMrush - Monthly Visits,SEMrush - Average Visits (6 months),SEMrush - Monthly Visits Growth,SEMrush - Visit Duration Growth,SEMrush - Visit Duration,SEMrush - Page Views / Visit,SEMrush - Page Views / Visit Growth,SEMrush - Bounce Rate,SEMrush - Bounce Rate Growth,SEMrush - Global Traffic Rank,SEMrush - Monthly Rank Change (#),SEMrush - Monthly Rank Growth,Headquarters Regions,Operating Status,Founded Date,Founded Date Precision,Number of Founders,Number of Employees,Founders,Apptopia - Number of Apps,Apptopia - Downloads Last 30 Days,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD)
TecAlliance,https://www.crunchbase.com/organization/tecalliance,,"Cloud Data Services, Product Management, Supply Chain Management",http://www.tecalliance.net,"Ismaning, Bayern, Germany","TecAlliance is a digital solution firm that offers supply chain, e-business, data, and product management services.","199,067","1,439,963","1,487,485.83",66.65%,58.27%,"1,961",2.48,20.6%,62.16%,2.79%,"81,063","-30,104",-27.08%,European Union (EU),Active,1994-01-01,day,,501-1000,,44,"34,840",4002837,USD,4002837
Canto,https://www.crunchbase.com/organization/canto-2,"Canto is driven by delivering digital content more intelligently. This has made the company a global leader in the digital asset management community. By always putting the focus on its users, Canto delivers scalable software and services that match customers' demands. More than one million users from a wide spectrum of market segments have trusted Canto’s expertise since the company’s founding in 1990. Canto is based in San Francisco (USA), Berlin and Linden (Germany) and serves a worldwide customer base in close cooperation with its worldwide partner network.","Cloud Data Services, Document Management, Enterprise Software, File Sharing, Software",http://www.canto.com/,"Berlin, Berlin, Germany",A leader in Digital Asset Management Software with proven success providing professional software services and solutions for over 20 years.,"83,863","1,081,644","1,016,030.17",7.72%,-2.06%,665,1.76,-22.31%,72.61%,6.23%,"100,209","1,121",1.13%,European Union (EU),Active,1990-01-01,year,1,51-100,Thomas Schleu,7,133,,,
SYSTRAN,https://www.crunchbase.com/organization/systran,"Since its foundation in 1968, SYSTRAN has been pioneering machine translation technology. The company leads the industry with a number of breakthrough innovations and solutions now commonly used by companies and consumers. With a strong focus on research and development, SYSTRAN is 50 years later, more innovative than ever. Now introducing its Neural Machine Translation enterprise solution, SYSTRAN is bringing the capabilities of Neural translation to corporate users.","Artificial Intelligence, Cloud Data Services, Computer, Information Technology, Machine Learning, Software",https://www.systransoft.com,"Paris, Ile-de-France, France",Neural Machine Translation solution provider,"191,659","731,083","1,456,327.67",-16.1%,163.64%,261,1.13,-0.35%,89.55%,-0.32%,"133,450","23,030",20.86%,European Union (EU),Active,1968-01-01,year,1,101-250,Peter Toma,,,,,
Umanis,https://www.crunchbase.com/organization/umanis,"Umanis is a digital company that specializes in data, digital, and business services. It supports the digital transformation of many companies with strong expertise in five areas in particular: Big Data & Artificial Intelligence, Infrastructure & Cloud, Digital Experience, Integration of business solutions, and BPO.","Artificial Intelligence, Big Data, Business Intelligence, Cloud Data Services, Information Technology",http://www.umanis.com/,"Levallois-perret, Ile-de-France, France","Umanis is a digital company that specializes in data, digital, and business solutions.","165,281","360,214","215,738.17",-8.73%,833.33%,"2,044",1.75,-24.06%,50.82%,76.83%,"228,974","22,030",10.65%,European Union (EU),Active,1990-01-01,year,1,1001-5000,Laurent Piepszownik,,,,,
Elmas Software S.P.A,https://www.crunchbase.com/organization/elmas-software-s-p-a,,"Cloud Data Services, Consulting, Software",http://www.elmas.net,"Pordenone, Friuli-Venezia Giulia, Italy","Elmas software offers assistance, consultancy, business transformation, and operational solutions that are tailored to customers.","626,265","264,330","158,883",67.75%,8.2%,"1,967",1.05,-11.79%,95.45%,7.38%,"283,620","-105,591",-27.13%,European Union (EU),Active,1979-12-19,day,,11-50,,,,,,
Faticoni,https://www.crunchbase.com/organization/faticoni,,"Cloud Data Services, Graphic Design, Information Technology, Printing",https://www.faticoni.it/,"Cagliari, Sardegna, Italy","Faticoni provides printing, graphic arts, data center, security, cloud, and networking solutions.","1,830,770","264,205","74,013.33",401.79%,73.82%,"1,474",1.2,-73.15%,79.92%,265.1%,"273,737","-486,397",-63.99%,European Union (EU),Active,1978-01-01,year,,11-50,,,,3868684,USD,3868684
NBS,https://www.crunchbase.com/organization/nbs-2,"NBS, specialist provider of technical information for construction industry professionals, offers essential, innovative products and services, highly valued by those working in architecture, construction, design and engineering. NBS Create is a ground-breaking new specification tool that ensures all documentation works together intelligently throughout the entire project timeline, from concept stage to completion and beyond, to save time and money. More than 5,000 offices across the UK subscribe to NBS products, including 96 of the top 100 AJ practices.","Architecture, Cloud Data Services, Construction, Environmental Consulting, Information Technology, Supply Chain Management, Web Design",http://www.theNBS.com,"Newcastle Upon Tyne, Newcastle upon Tyne, United Kingdom","NBS offers cloud-based specification systems for the architecture, engineering, manufacturing, and contracting industries.","17,387","213,005","228,938.83",6.76%,-84.84%,386,2.22,-63.32%,71.22%,25.08%,"317,294","3,826",1.22%,,Active,1973-01-01,year,,101-250,,,,,,
Ekon,https://www.crunchbase.com/organization/ekon-6577,"Ekon is a reference manufacturer in cloud technology for SMEs. Ekon is a developer of enterprise resource planning (ERP) software. The company's software offers management of finance, purchases, sales, warehouse, manufacturing, post-sales, human resources, e-commerce, and reporting functions, enabling clients in the manufacturing, wholesale, health, retail, and construction sectors to get reduced costs, better delivery time, and optimization of the entire supply chain.","Cloud Data Services, Information Technology, IT Management, Software",https://www.ekon.es,"Madrid, Madrid, Spain",Ekon is a developer of business software and cloud technology for SMEs.,"343,583","174,480","203,399.5",-44.27%,605.09%,"1,523",1.19,-0.08%,86.58%,2.1%,"376,963","133,713",54.97%,European Union (EU),Active,1963-01-01,year,,101-250,,,,,,
Stone Group,https://www.crunchbase.com/organization/stone-group,Stone Group is an IT provider to the public sector.,"Cloud Data Services, Information Services, Information Technology",http://www.stonegroup.co.uk/,"Stafford, Staffordshire, United Kingdom",Stone Group is an IT provider to the public sector.,"107,899","107,272","55,999.33",33.88%,18.27%,233,1.8,27.84%,69.92%,-19.82%,"523,372","-91,060",-14.82%,,Active,1991-01-01,year,,251-500,,,,,,
DVZ,https://www.crunchbase.com/organization/dvz,,"Cloud Data Services, Computer, Data Storage",http://www.dvz-mv.de,"Schwerin, Mecklenburg-Vorpommern, Germany","DVZ is an IT service company that offers data storage, IT consulting, and infrastructure services.","792,933","94,105","19,440.17","3,567.38%",-10.78%,0,1,0%,100%,0%,"552,141","-3,826,165",-87.39%,European Union (EU),Active,1990-01-01,day,,11-50,,,,,,
Mont,https://www.crunchbase.com/organization/mont,MONT group of companies provides distributed software. MONT cloud distribution is an automated platform for selling cloud services that partners can use to build new businesses or transform existing ones. MONT ESD enables users to receive electronic keys for digital content and software directly from vendors.,"Cloud Computing, Cloud Data Services, Electronics, Email, Information Technology, Software",https://mont.com,"Moscow, Moscow City, Russian Federation",Mont is a software distributing firm in RUssia.,"178,969","59,988","23,703.5",45.15%,-1.08%,"1,012",2.94,-20.23%,56.21%,51.59%,"768,973","-179,699",-18.94%,,Active,1991-01-01,year,,101-250,,,,,,
Kin and Carta,https://www.crunchbase.com/organization/kin-and-carta,"Kin + Carta is a global digital transformation business that advises, creates, and connects marketing and customer experience. Kin + Carta is a professional services company, born out of the United Kingdom in 2018.","Cloud Computing, Cloud Data Services, Digital Marketing, Finance, Internet, Marketing",http://www.kinandcarta.com,"London, England, United Kingdom","Kin + Carta is a global digital transformation business that advises, creates, and connects marketing and customer experience.","10,693","58,451","54,108",80.56%,37.61%,300,1.71,0.75%,67.32%,-14.88%,"756,313","-285,698",-27.42%,,Active,1964-01-01,year,1,5001-10000,J Schwan,,,,,
Odigo,https://www.crunchbase.com/organization/odigo-e09b,,"Cloud Data Services, Consulting, Information Technology",https://www.odigo.com/,"Moulineaux, Haute-Normandie, France",Odigo supports organisations with its cloud-based communication centre solutions.,"168,887","53,524","24,010.5",386.85%,538.73%,"1,105",5.87,230.85%,32.28%,-56.52%,"828,775","-1,237,162",-59.88%,European Union (EU),Active,1986-01-01,year,,501-1000,,,,,,
Bucap,https://www.crunchbase.com/organization/bucap,,"Cloud Data Services, Consulting, Document Management, Information Services, Information Technology",https://www.bucap.it,"Monterotondo, Toscana, Italy","Bucap develops and offers a spectrum of document digitization, business process analysis, mailroom, cloud data center and BPO services.","798,772","47,877","69,105.33",-32.09%,-71.07%,385,1.11,-31.12%,92.83%,18.74%,"865,841","237,217",37.74%,European Union (EU),Active,1982-01-01,year,,251-500,,,,,,
COPA-DATA,https://www.crunchbase.com/organization/copa-data,"COPA-DATA, as independent manufacturer of software, enables true industrial automation, digitisation and progress in industries such as pharmaceuticals & life sciences, energy & infrastructure, automotive, manufacturing, process industries and food & beverage.  Its product - the zenon Software Platform - is the leading industrial control system, working completely vendor-independent in any hard- and software environment with 5,000+ clients worldwide including many Fortune Global 500s such as Toyota, Pfizer, Ford Motor, Volkswagen, Saudi Aramco, Abbott, AB InBev, Microsoft, BMW, Coca Cola, Nestlé, Baxter, Mondelēz, Texas Instruments or GE Energy. zenon connects and manages any data in one system, tracks and controls any process in real-time with powerful SCADA and HMI solutions, allows for better insights to make smarter decisions and presents a powerful base to design any kind of industrial application in a no-code engineering environment.","Automotive, Cloud Data Services, Energy Management, Food and Beverage, Industrial Automation, Industrial Manufacturing, Infrastructure, Life Science, Pharmaceutical, Renewable Energy",https://www.copadata.com/en/,"Salzburg, Salzburg, Austria",#1 Industrial Control System I industrial & energy automation platform to make people’s lives easier,"167,911","34,888","41,524.17",-36.75%,-91.99%,25,1.33,-34.43%,83.16%,17.51%,"1,056,356","318,932",43.25%,European Union (EU),Active,1987-01-01,year,1,251-500,Thomas Punzenberger,,,4204604,USD,4204604
Atea Denmark,https://www.crunchbase.com/organization/atea-41fc,,"Cloud Data Services, IT Infrastructure, Outsourcing, Software",http://www.atea.dk,"Ballerup, Hovedstaden, Denmark","Atea is an IT infrastructure provider with services like financing, software licensing, outsourcing, etc. in various public sectors.","492,172","25,995","52,224.67",-14.56%,-80.69%,128,1.95,-61.63%,78.31%,49.02%,"1,265,721","181,590",16.75%,"European Union (EU), Nordic Countries, Scandinavia",Active,1968-01-01,day,,5001-10000,,,,,,
Olivetti,https://www.crunchbase.com/organization/olivetti,"Olivetti provides information technology products and services. It provides bank and post office terminals, cash registers, cordless and corded phones, retail printers, interactive boards, internet keys, multiservice terminals, POS touchscreen systems, office automation systems, self-service systems, tablets, fax machines, and validators; and multiservice terminals and specialized peripherals for banking, postal services, gaming and lottery, and transport sectors. It also provides software solutions, including Document Hub, a SaaS model document management solution that offers services for the document life cycle; Olitouch, a solution for corporate document dematerialization; Application Warehouse, a virtual store of business applications, including groups of bundled application solutions for small and medium enterprises, large corporate clients, and local and central government agencies. It also offers Olischool, which is a vertical hardware and software for schools. Olivetti also provides cloud computing and related services. Its products are primarily offered for SMEs, large corporate customers, and the retail sector in Europe and in the world. Olivetti was established in 1908 and is based in Ivrea, Italy. Olivetti operates as a subsidiary of Telecom Italia S.p.A.","Cloud Computing, Cloud Data Services, Computer, Enterprise Software, Information Technology, Software",http://www.olivetti.com/,"Ivrea, Piemonte, Italy",Olivetti provides information technology products and services.,"265,011","17,219","36,368.67",1.86%,-59.54%,53,1.36,-57.93%,79.11%,80.78%,"1,647,512","14,770",0.9%,European Union (EU),Active,1908-01-01,year,1,251-500,Marcello Pellacani,,,,,
Getronics,https://www.crunchbase.com/organization/getronics,"The Getronics family is an ICT Services group consisting of the Getronics and Connectis brands and is owned by the AURELIUS Group, a holding company headquartered in Munich, Germany. With an extensive history that extends over 125 years, the Getronics family has approximately 6,000 employees in 18 countries across Europe, Asia Pacific & Latin America, and has a complete portfolio of integrated ICT services for the large enterprise and public sector markets. This includes Workspace, Applications, Communication, Data Centre, Cloud, Consulting, Product and Managed Services. Getronics is a lead in the Global Workspace Alliance, a unique model that provides customers with a consistent IT service throughout the world, with one single point of contact and billing entity, delivering services to 90 countries. GWA members provide support to over 9.9 workspace assets on-site.","Cloud Data Services, Consulting, Data Center, Information Technology",http://www.getronics.com,"Reading, Reading, United Kingdom",The Getronics family is an ICT Services group consisting of the Getronics and Connectis brands.,"16,437","15,677","20,497.33",22.93%,-95.59%,21,1.39,-34.05%,73.27%,62.68%,"1,736,373","-157,954",-8.34%,,Active,1887-09-01,day,,5001-10000,,,,3455779,USD,3455779
Amtech,https://www.crunchbase.com/organization/amtech-ec1a,"Amtech provides customers with products in data and networking. Their service also includes sound, light, and image installation. They provide data and network installation, repair services, and device rental services, which are also available in their store. They also provide cloud services, IP switches, and their own servers. Additionally, they provide event planning and execution, which includes sound, lighting, wireless microphones, tripods, projectors, TV screens, and much more.","Cloud Data Services, Internet, Professional Services, Rental",https://amtech.se,"Mora, Dalarnas Lan, Sweden",Amtech is a hardware company that provide data and network services.,"1,919,767","13,635",,991.67%,"1,246.15%",350,4.94,31.66%,18.75%,50%,"1,880,583","-4,661,655",-71.25%,"European Union (EU), Nordic Countries, Scandinavia",Active,1993-01-01,year,,1-10,,,,12799972,USD,12799972
ACS,https://www.crunchbase.com/organization/acs-3d16,,"Cloud Data Services, Document Management, IT Infrastructure, Software",https://www.acs.it/it/home.html,"Bolzano, Friuli-Venezia Giulia, Italy","ACS is an IT firm that offers document management, software, digital signage, IT infrastructure and cloud services to SME's.","490,441","12,396","3,674",750.21%,-21.45%,542,1.8,-46.98%,70%,247.22%,"1,998,530","-4,015,006",-66.77%,European Union (EU),Active,1983-01-01,day,,251-500,,,,,,
mscom,https://www.crunchbase.com/organization/mscom-it-systems,,"Cloud Data Services, Cyber Security, Information Technology",https://mscom.de,"Hamburg, Hamburg, Germany","mscom is an IT company that provides cloud, cyber security, and IT support services.","1,355,905","9,930",,,,0,1,,100%,,"2,189,502",,,European Union (EU),Active,1994-01-01,year,,,,,,27294839,USD,27294839
Audicon,https://www.crunchbase.com/organization/audicon,"Audicon provides software and consulting in accounting, auditing, data analysis, compliance, and data retention management.","Accounting, Cloud Data Services, Compliance",http://www.audicon.net,"Stuttgart, Baden-Wurttemberg, Germany","Audicon provides software and consulting in accounting, auditing, data analysis, compliance, and data retention management.","94,601","9,789","19,087.67",-26.57%,-82.61%,12,1.3,-1.1%,96.79%,4.01%,"2,256,840","410,484",22.23%,European Union (EU),Active,1994-01-01,day,,101-250,,,,6262829,USD,6262829
Group A3Satel,https://www.crunchbase.com/organization/group-a3satel,,"Accounting, Cloud Data Services, Information Technology, Software, Telecommunications",https://a3satel.com,"Madrid, Madrid, Spain","Group A3Satel is an IT-based firm that offers cloud, software, Microsoft & financial services.","1,169,387","9,416","31,440","1,362.11%",,41,1.5,50%,50%,-50%,"2,250,377","-4,756,247",-67.88%,European Union (EU),Active,1987-01-01,year,,51-100,,,,,,
SIB,https://www.crunchbase.com/organization/sib-2d5d,"SIB is a cooperative player of reference in the digital sector in the service of health and the public sector. It supports healthcare establishments, communities and public administrations in the transformation of their information systems","Cloud Data Services, Cloud Management, Communities, Digital Media",https://sib.fr,"Le Vésinet, Ile-de-France, France",SIB is a digital cooperative player.,"464,814","7,355","10,480.5",10.2%,-70.02%,176,6.12,234.12%,22.3%,-27.31%,"2,567,112","-41,054",-1.57%,European Union (EU),Active,1993-01-01,year,,251-500,,,,,,
SIEVERS-GROUP,https://www.crunchbase.com/organization/sievers-group,,"Cloud Data Services, Information Services, Information Technology, IT Infrastructure, IT Management",https://www.sievers-group.com,"Osnabrück, Niedersachsen, Germany","SIEVERS-GROUP is an IT service firm that provides business intelligence, customer relation & digital management, and security services.","343,927","6,795","22,639.83",43.41%,56.64%,81,2.13,112.66%,65.34%,-34.66%,"2,692,577","-659,523",-19.67%,European Union (EU),Active,1989-01-01,year,,101-250,,,,13431798,USD,13431798
